	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	9.5	-18.5	38.4	-7.5	-15.1	35.5	0.1	-7.2	-0.8	-4.9	-11.8	9.4	6.9	-18.4	26.8	-2.0	-13.5	20.8
2	10.5	-20.2	44.6	-8.5	-16.5	41.3	0.6	-8.4	3.5	-5.6	-12.9	12.8	7.8	-20.3	31.8	-2.7	-14.8	25.7
3	11.5	-22.1	51.1	-9.5	-17.9	47.4	1.3	-9.6	8.2	-6.4	-14.1	16.5	8.6	-22.2	36.9	-3.4	-16.1	30.8
4	12.5	-24.1	57.9	-10.6	-19.5	53.7	1.9	-10.9	13.1	-7.2	-15.4	20.3	9.5	-24.3	42.4	-4.1	-17.5	36.2
5	13.6	-26.1	65.1	-11.7	-21.0	60.4	2.6	-12.2	18.4	-8.0	-16.7	24.4	10.5	-26.4	48.1	-4.9	-19.0	42.0
6	14.8	-28.2	72.6	-12.8	-22.7	67.4	3.4	-13.7	24.0	-8.9	-18.0	28.7	11.5	-28.6	54.2	-5.7	-20.6	48.0
