	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\DL 3.c3d
	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	Y	Y	X	X	X	Y	Z	X	Y	Z	Y	Y	X	X	X	Y	Z	X	Y	Z	Y	Y	X	X
1	6.66	-2.12	0.37	8.39	-1.57	0.79	-10.12	-4.00	43.56	36.36	2.81	-3.29	-0.85	10.78	-0.05	-0.71	-11.05	-1.41	37.24	37.08	8.82	-1.28	-0.32	10.13	-1.41	0.63	-8.76	-5.37	40.37	32.14
2	7.43	-2.11	0.39	9.00	-1.60	0.73	-10.19	-4.07	43.92	36.66	3.38	-3.31	-0.82	11.26	-0.09	-0.60	-11.11	-1.52	37.50	37.33	9.59	-1.29	-0.21	10.79	-1.42	0.60	-8.83	-5.47	40.68	32.41
3	8.26	-2.11	0.41	9.68	-1.62	0.68	-10.27	-4.15	44.34	37.00	4.02	-3.33	-0.79	11.80	-0.12	-0.50	-11.17	-1.64	37.82	37.63	10.43	-1.30	-0.09	11.52	-1.44	0.57	-8.91	-5.56	41.05	32.74
4	9.16	-2.11	0.44	10.42	-1.64	0.62	-10.34	-4.24	44.82	37.41	4.71	-3.34	-0.76	12.40	-0.16	-0.39	-11.22	-1.77	38.19	37.98	11.35	-1.31	0.03	12.31	-1.45	0.53	-8.99	-5.67	41.49	33.13
5	10.14	-2.11	0.46	11.22	-1.65	0.57	-10.41	-4.34	45.38	37.88	5.48	-3.36	-0.73	13.08	-0.20	-0.27	-11.29	-1.92	38.64	38.40	12.35	-1.32	0.16	13.17	-1.47	0.51	-9.07	-5.78	42.01	33.59
6	11.20	-2.10	0.49	12.09	-1.65	0.53	-10.47	-4.45	46.02	38.42	6.31	-3.36	-0.70	13.84	-0.24	-0.16	-11.35	-2.07	39.16	38.88	13.45	-1.32	0.30	14.11	-1.49	0.48	-9.15	-5.89	42.62	34.14
