	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	FP1	FP1	FP1	FP2	FP2	FP2
	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1	0.2201	2.0972	-0.1066	0.6757	2.0391	-0.1016
2	0.2203	2.0985	-0.1067	0.6753	2.0394	-0.1016
3	0.2195	2.0974	-0.1067	0.6747	2.0391	-0.1016
4	0.2195	2.0965	-0.1066	0.6740	2.0384	-0.1015
5	0.2192	2.0962	-0.1066	0.6756	2.0390	-0.1016
6	0.2191	2.0964	-0.1066	0.6750	2.0380	-0.1015
7	0.2188	2.0970	-0.1066	0.6747	2.0380	-0.1015
8	0.2187	2.0970	-0.1066	0.6735	2.0394	-0.1016
9	0.2185	2.0961	-0.1065	0.6745	2.0376	-0.1015
10	0.2183	2.0961	-0.1066	0.6746	2.0397	-0.1016
11	0.2176	2.0951	-0.1065	0.6740	2.0390	-0.1016
12	0.2175	2.0963	-0.1066	0.6749	2.0384	-0.1015
13	0.2170	2.0953	-0.1065	0.6752	2.0392	-0.1016
14	0.2170	2.0953	-0.1065	0.6758	2.0380	-0.1015
15	0.2170	2.0957	-0.1065	0.6751	2.0395	-0.1016
16	0.2159	2.0942	-0.1064	0.6750	2.0379	-0.1015
17	0.2152	2.0949	-0.1065	0.6747	2.0383	-0.1015
18	0.2170	2.0947	-0.1064	0.6754	2.0381	-0.1015
19	0.2152	2.0939	-0.1064	0.6753	2.0385	-0.1015
20	0.2156	2.0942	-0.1064	0.6741	2.0388	-0.1016
21	0.2146	2.0933	-0.1063	0.6743	2.0381	-0.1015
22	0.2147	2.0939	-0.1064	0.6753	2.0375	-0.1015
23	0.2146	2.0946	-0.1064	0.6748	2.0371	-0.1014
24	0.2131	2.0929	-0.1063	0.6753	2.0384	-0.1015
25	0.2130	2.0933	-0.1063	0.6741	2.0372	-0.1014
26	0.2137	2.0933	-0.1063	0.6747	2.0368	-0.1014
27	0.2128	2.0924	-0.1063	0.6750	2.0376	-0.1015
28	0.2122	2.0927	-0.1063	0.6751	2.0365	-0.1014
29	0.2134	2.0931	-0.1063	0.6746	2.0384	-0.1015
30	0.2121	2.0919	-0.1062	0.6760	2.0390	-0.1016
31	0.2119	2.0918	-0.1062	0.6762	2.0381	-0.1015
32	0.2108	2.0912	-0.1062	0.6753	2.0372	-0.1014
33	0.2112	2.0905	-0.1061	0.6753	2.0370	-0.1014
34	0.2109	2.0901	-0.1061	0.6754	2.0375	-0.1015
35	0.2111	2.0891	-0.1060	0.6750	2.0377	-0.1015
36	0.2101	2.0894	-0.1060	0.6761	2.0382	-0.1015
37	0.2102	2.0903	-0.1061	0.6759	2.0371	-0.1014
38	0.2102	2.0901	-0.1061	0.6756	2.0367	-0.1014
39	0.2105	2.0892	-0.1060	0.6756	2.0381	-0.1015
40	0.2107	2.0896	-0.1060	0.6753	2.0369	-0.1014
41	0.2096	2.0892	-0.1060	0.6758	2.0386	-0.1015
42	0.2105	2.0881	-0.1059	0.6754	2.0384	-0.1015
43	0.2102	2.0880	-0.1059	0.6762	2.0374	-0.1014
44	0.2102	2.0870	-0.1058	0.6760	2.0373	-0.1014
45	0.2099	2.0877	-0.1059	0.6747	2.0388	-0.1016
46	0.2099	2.0855	-0.1057	0.6751	2.0381	-0.1015
47	0.2094	2.0863	-0.1058	0.6768	2.0375	-0.1015
48	0.2097	2.0857	-0.1057	0.6755	2.0383	-0.1015
49	0.2096	2.0855	-0.1057	0.6760	2.0374	-0.1014
50	0.2102	2.0849	-0.1057	0.6757	2.0374	-0.1014
51	0.2093	2.0851	-0.1057	0.6765	2.0380	-0.1015
52	0.2096	2.0833	-0.1055	0.6748	2.0383	-0.1015
53	0.2097	2.0840	-0.1056	0.6764	2.0376	-0.1015
54	0.2099	2.0833	-0.1055	0.6759	2.0400	-0.1017
55	0.2091	2.0828	-0.1055	0.6766	2.0378	-0.1015
