	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Endurance 1.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
1						
2						
3	-21.34	-3.63	1.61	0.29	-1.82	1.50
4	-21.26	-3.01	1.60	0.10	-1.77	1.48
5	-21.07	-2.44	1.58	-0.07	-1.70	1.45
6	-20.94	-1.88	1.57	-0.25	-1.66	1.42
7	-20.69	-1.36	1.56	-0.45	-1.60	1.39
8	-20.53	-0.88	1.56	-0.67	-1.53	1.36
9	-20.31	-0.42	1.57	-0.91	-1.46	1.34
10	-20.11	0.00	1.57	-1.10	-1.38	1.31
11	-19.93	0.39	1.59	-1.39	-1.30	1.29
12	-19.75	0.75	1.62	-1.67	-1.22	1.26
13	-19.66	1.06	1.65	-1.84	-1.13	1.24
14	-19.49	1.35	1.68	-2.17	-1.04	1.22
15	-19.41	1.58	1.73	-2.40	-0.95	1.21
16	-19.37	1.77	1.77	-2.71	-0.86	1.19
17	-19.32	1.92	1.82	-2.94	-0.79	1.18
18	-19.38	2.02	1.88	-3.18	-0.71	1.16
19	-19.37	2.07	1.94	-3.47	-0.64	1.15
20	-19.52	2.10	2.01	-3.72	-0.59	1.13
21	-19.59	2.07	2.08	-3.96	-0.53	1.12
22	-19.77	2.02	2.15	-4.24	-0.50	1.10
23	-19.96	1.92	2.22	-4.42	-0.47	1.09
24	-20.15	1.80	2.30	-4.67	-0.46	1.07
25	-20.42	1.66	2.38	-4.92	-0.47	1.05
26	-20.67	1.49	2.46	-5.08	-0.50	1.03
27	-20.92	1.30	2.55	-5.29	-0.54	1.01
28	-21.23	1.10	2.63	-5.48	-0.60	0.98
29	-21.53	0.90	2.72	-5.65	-0.66	0.96
30	-21.81	0.69	2.80	-5.81	-0.76	0.93
31	-22.15	0.49	2.88	-5.91	-0.87	0.90
32	-22.37	0.28	2.96	-6.10	-0.97	0.87
33	-22.77	0.10	3.04	-6.17	-1.11	0.84
34	-22.93	-0.08	3.11	-6.28	-1.25	0.80
35	-23.25	-0.23	3.19	-6.39	-1.40	0.77
36	-23.46	-0.37	3.25	-6.44	-1.55	0.74
37	-23.68	-0.49	3.32	-6.46	-1.70	0.70
38	-23.87	-0.59	3.38	-6.59	-1.86	0.66
39	-24.05	-0.67	3.43	-6.57	-2.02	0.63
40	-24.16	-0.72	3.48	-6.62	-2.18	0.59
41	-24.27	-0.76	3.53	-6.60	-2.31	0.55
42	-24.39	-0.76	3.58	-6.68	-2.45	0.52
43	-24.36	-0.77	3.61	-6.60	-2.57	0.48
44	-24.48	-0.75	3.65	-6.64	-2.70	0.44
45	-24.36	-0.72	3.67	-6.60	-2.80	0.41
46	-24.39	-0.67	3.70	-6.59	-2.88	0.37
47	-24.29	-0.63	3.71	-6.58	-2.97	0.34
48	-23.99	-0.59	3.75	-6.52	-3.02	0.30
49	-24.10	-0.43	3.77	-6.49	-3.06	0.27
50	-24.14	-0.34	3.76	-6.48	-3.08	0.24
51	-23.78	-0.29	3.78	-6.40	-3.09	0.20
52	-23.60	-0.19	3.78	-6.30	-3.09	0.17
53	-23.40	-0.10	3.79	-6.31	-3.05	0.14
54	-23.21	-0.00	3.79	-6.19	-3.02	0.11
55	-22.92	0.08	3.79	-6.11	-2.96	0.09
56	-22.74	0.18	3.79	-6.09	-2.90	0.06
57	-22.50	0.27	3.78	-5.94	-2.82	0.04
58	-22.22	0.34	3.78	-5.85	-2.73	0.01
59	-22.02	0.43	3.77	-5.82	-2.64	-0.01
60	-21.73	0.50	3.76	-5.67	-2.53	-0.03
61	-21.50	0.57	3.75	-5.54	-2.43	-0.05
62	-21.25	0.64	3.74	-5.51	-2.32	-0.07
63	-21.00	0.71	3.73	-5.38	-2.21	-0.09
64	-20.76	0.76	3.71	-5.26	-2.10	-0.11
65	-20.59	0.83	3.70	-5.15	-1.99	-0.12
66	-20.34	0.87	3.68	-5.09	-1.89	-0.14
67	-20.08	0.92	3.66	-4.94	-1.80	-0.15
68	-19.96	0.98	3.65	-4.84	-1.68	-0.16
69	-19.74	1.02	3.63	-4.79	-1.62	-0.17
70	-19.56	1.05	3.61	-4.67	-1.52	-0.18
71	-19.39	1.10	3.60	-4.55	-1.46	-0.18
72	-19.26	1.13	3.58	-4.48	-1.41	-0.19
73	-19.08	1.17	3.56	-4.41	-1.34	-0.19
74	-18.99	1.20	3.55	-4.32	-1.33	-0.20
75	-18.85	1.23	3.53	-4.23	-1.29	-0.20
76	-18.70	1.25	3.52	-4.17	-1.27	-0.20
77	-18.68	1.29	3.51	-4.09	-1.27	-0.20
78	-18.53	1.30	3.50	-4.04	-1.27	-0.20
79	-18.53	1.34	3.49	-3.93	-1.29	-0.20
80	-18.37	1.34	3.48	-3.90	-1.31	-0.20
81	-18.37	1.37	3.47	-3.84	-1.34	-0.20
82	-18.30	1.38	3.47	-3.78	-1.38	-0.20
83	-18.28	1.40	3.46	-3.70	-1.43	-0.20
84	-18.23	1.41	3.46	-3.69	-1.49	-0.20
85	-18.22	1.42	3.46	-3.64	-1.54	-0.20
86	-18.18	1.42	3.46	-3.59	-1.61	-0.20
87	-18.17	1.42	3.45	-3.55	-1.69	-0.20
88	-18.15	1.42	3.45	-3.53	-1.74	-0.20
89	-18.19	1.42	3.45	-3.57	-1.82	-0.21
90	-18.16	1.41	3.45	-3.48	-1.90	-0.21
91	-18.15	1.39	3.45	-3.49	-1.97	-0.21
92	-18.19	1.38	3.45	-3.53	-2.05	-0.22
93	-18.14	1.36	3.45	-3.57	-2.12	-0.22
94	-18.14	1.34	3.44	-3.59	-2.20	-0.23
95	-18.20	1.33	3.44	-3.65	-2.26	-0.23
96	-18.14	1.30	3.43	-3.74	-2.32	-0.24
97	-18.15	1.28	3.43	-3.82	-2.40	-0.25
98	-18.17	1.27	3.42	-3.85	-2.43	-0.25
99	-18.08	1.24	3.41	-3.95	-2.47	-0.26
100	-18.12	1.23	3.40	-3.95	-2.51	-0.26
101	-18.04	1.21	3.39	-3.97	-2.51	-0.26
