	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
1	-9.8	2.2	745.3
2	-9.7	2.2	745.5
3	-9.6	2.2	745.6
4	-9.5	2.3	745.8
5	-9.4	2.3	746.0
6	-9.3	2.4	746.2
7	-9.2	2.5	746.4
8	-9.1	2.5	746.6
9	-9.0	2.6	746.8
10	-8.9	2.7	746.9
11	-8.8	2.7	747.1
12	-8.7	2.8	747.3
13	-8.6	2.9	747.5
14	-8.5	3.0	747.7
15	-8.4	3.1	747.9
16	-8.3	3.1	748.1
17	-8.2	3.2	748.3
18	-8.1	3.3	748.5
19	-8.0	3.4	748.7
20	-7.9	3.5	748.9
21	-7.8	3.6	749.1
22	-7.7	3.7	749.2
23	-7.6	3.8	749.4
24	-7.5	3.9	749.6
25	-7.4	4.0	749.7
26	-7.3	4.1	749.9
27	-7.2	4.2	750.1
28	-7.1	4.3	750.2
29	-7.0	4.4	750.4
30	-7.0	4.5	750.5
31	-6.9	4.6	750.6
32	-6.8	4.7	750.8
33	-6.7	4.8	750.9
34	-6.7	4.9	751.0
35	-6.6	5.0	751.2
36	-6.5	5.1	751.3
37	-6.5	5.2	751.4
38	-6.4	5.4	751.5
39	-6.3	5.5	751.6
40	-6.3	5.6	751.7
41	-6.2	5.7	751.8
42	-6.2	5.8	751.9
43	-6.2	5.9	752.0
44	-6.1	6.0	752.1
45	-6.1	6.1	752.2
46	-6.1	6.2	752.3
47	-6.1	6.3	752.4
48	-6.0	6.4	752.5
49	-6.0	6.5	752.6
50	-6.0	6.6	752.7
51	-6.0	6.7	752.7
52	-6.0	6.8	752.8
53	-6.0	6.8	752.9
54	-6.0	6.9	753.0
55	-6.0	7.0	753.1
56	-6.0	7.1	753.1
57	-6.1	7.1	753.2
58	-6.1	7.2	753.3
59	-6.1	7.2	753.4
60	-6.1	7.3	753.5
61	-6.1	7.4	753.5
62	-6.2	7.4	753.6
63	-6.2	7.4	753.7
