	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTL 2.c3d
	FP3	FP3	FP3
	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
1	0.4893	0.3022	0.0118
2	0.4914	0.3008	0.0118
3	0.4923	0.3005	0.0118
4	0.4933	0.2995	0.0118
5	0.4942	0.2993	0.0118
6	0.4951	0.2983	0.0118
7	0.4957	0.2980	0.0118
8	0.4961	0.2973	0.0118
9	0.4968	0.2976	0.0118
10	0.4975	0.2976	0.0118
11	0.4979	0.2973	0.0118
12	0.4968	0.2972	0.0118
13	0.4976	0.2977	0.0118
14	0.4975	0.2978	0.0118
15	0.4974	0.2977	0.0118
16	0.4965	0.2990	0.0118
17	0.4966	0.2990	0.0118
18	0.4959	0.2993	0.0118
19	0.4954	0.2999	0.0118
20	0.4949	0.3005	0.0118
21	0.4949	0.3003	0.0118
22	0.4944	0.3013	0.0118
23	0.4939	0.3018	0.0118
24	0.4938	0.3018	0.0118
25	0.4938	0.3021	0.0118
26	0.4936	0.3019	0.0118
27	0.4935	0.3023	0.0118
28	0.4939	0.3024	0.0118
29	0.4934	0.3025	0.0118
30	0.4942	0.3022	0.0118
31	0.4943	0.3021	0.0118
32	0.4951	0.3017	0.0118
33	0.4954	0.3015	0.0118
34	0.4963	0.3006	0.0118
35	0.4975	0.2998	0.0118
36	0.4987	0.2993	0.0118
37	0.4989	0.2989	0.0118
38	0.5007	0.2978	0.0118
39	0.5016	0.2971	0.0118
40	0.5027	0.2964	0.0118
41	0.5048	0.2949	0.0118
42	0.5059	0.2940	0.0118
43	0.5061	0.2930	0.0118
44	0.5088	0.2912	0.0118
45	0.5099	0.2905	0.0118
46	0.5110	0.2897	0.0118
47	0.5135	0.2887	0.0118
48	0.5142	0.2878	0.0118
49	0.5158	0.2863	0.0118
50	0.5170	0.2859	0.0118
51	0.5176	0.2845	0.0118
52	0.5200	0.2832	0.0118
53	0.5210	0.2828	0.0118
54	0.5219	0.2822	0.0118
55	0.5233	0.2813	0.0118
56	0.5235	0.2811	0.0118
57	0.5243	0.2806	0.0118
58	0.5255	0.2794	0.0118
59	0.5265	0.2791	0.0118
60	0.5268	0.2784	0.0118
61	0.5280	0.2777	0.0118
62	0.5289	0.2775	0.0119
63	0.5296	0.2775	0.0119
64	0.5300	0.2775	0.0119
65	0.5299	0.2772	0.0119
66	0.5309	0.2770	0.0119
67	0.5313	0.2767	0.0119
68	0.5314	0.2761	0.0119
69	0.5313	0.2764	0.0119
70	0.5318	0.2762	0.0119
71	0.5323	0.2760	0.0119
72	0.5328	0.2757	0.0119
73	0.5329	0.2756	0.0119
74	0.5333	0.2754	0.0119
75	0.5333	0.2753	0.0119
76	0.5342	0.2749	0.0119
77	0.5341	0.2750	0.0119
78	0.5348	0.2743	0.0119
79	0.5357	0.2741	0.0119
80	0.5362	0.2737	0.0119
81	0.5368	0.2728	0.0119
82	0.5372	0.2732	0.0119
83	0.5382	0.2718	0.0119
84	0.5391	0.2719	0.0119
85	0.5398	0.2709	0.0119
86	0.5406	0.2702	0.0119
87	0.5414	0.2696	0.0119
88	0.5424	0.2693	0.0119
89	0.5432	0.2681	0.0119
90	0.5429	0.2685	0.0119
91	0.5442	0.2672	0.0119
92	0.5449	0.2666	0.0119
93	0.5449	0.2664	0.0119
94	0.5458	0.2659	0.0119
95	0.5463	0.2657	0.0119
96	0.5468	0.2652	0.0119
97	0.5474	0.2649	0.0119
98	0.5479	0.2649	0.0119
99	0.5483	0.2637	0.0119
100	0.5480	0.2639	0.0119
101	0.5489	0.2632	0.0119
102	0.5489	0.2628	0.0119
103	0.5497	0.2627	0.0119
104	0.5500	0.2624	0.0119
105	0.5499	0.2621	0.0119
106	0.5499	0.2618	0.0119
107	0.5507	0.2614	0.0119
108	0.5507	0.2614	0.0119
109	0.5515	0.2616	0.0119
110	0.5514	0.2612	0.0119
111	0.5512	0.2609	0.0119
112	0.5516	0.2606	0.0119
113	0.5516	0.2607	0.0119
114	0.5520	0.2599	0.0118
115	0.5522	0.2598	0.0118
116	0.5526	0.2595	0.0119
117	0.5532	0.2597	0.0119
118	0.5531	0.2596	0.0119
119	0.5529	0.2597	0.0119
120	0.5532	0.2593	0.0119
121	0.5532	0.2587	0.0118
122	0.5535	0.2586	0.0118
123	0.5543	0.2583	0.0119
124	0.5540	0.2581	0.0118
125	0.5545	0.2580	0.0118
126	0.5543	0.2578	0.0118
127	0.5546	0.2572	0.0118
128	0.5552	0.2573	0.0118
129	0.5549	0.2571	0.0118
130	0.5549	0.2568	0.0118
131	0.5551	0.2567	0.0118
132	0.5555	0.2567	0.0118
133	0.5557	0.2561	0.0118
134	0.5556	0.2561	0.0118
135	0.5558	0.2566	0.0118
136	0.5556	0.2560	0.0118
137	0.5555	0.2557	0.0118
138	0.5557	0.2558	0.0118
139	0.5559	0.2558	0.0118
140	0.5560	0.2556	0.0118
141	0.5554	0.2555	0.0118
142	0.5557	0.2562	0.0118
143	0.5561	0.2556	0.0118
144	0.5562	0.2553	0.0118
145	0.5558	0.2559	0.0118
146	0.5561	0.2551	0.0118
147	0.5559	0.2552	0.0118
148	0.5555	0.2552	0.0118
149	0.5558	0.2553	0.0118
150	0.5558	0.2556	0.0118
151	0.5555	0.2551	0.0118
152	0.5558	0.2550	0.0118
153	0.5558	0.2543	0.0118
154	0.5558	0.2552	0.0118
155	0.5558	0.2553	0.0118
156	0.5562	0.2550	0.0118
157	0.5559	0.2551	0.0118
158	0.5555	0.2552	0.0118
159	0.5552	0.2551	0.0118
160	0.5555	0.2555	0.0118
161	0.5557	0.2547	0.0118
162	0.5552	0.2549	0.0118
163	0.5551	0.2551	0.0118
164	0.5554	0.2547	0.0118
165	0.5550	0.2544	0.0118
166	0.5547	0.2548	0.0118
167	0.5549	0.2549	0.0118
168	0.5553	0.2543	0.0118
169	0.5549	0.2545	0.0118
170	0.5546	0.2549	0.0118
171	0.5545	0.2543	0.0118
172	0.5549	0.2543	0.0118
173	0.5542	0.2544	0.0118
174	0.5539	0.2545	0.0118
175	0.5534	0.2545	0.0118
176	0.5532	0.2546	0.0118
177	0.5528	0.2544	0.0118
178	0.5524	0.2545	0.0118
179	0.5522	0.2548	0.0118
180	0.5517	0.2545	0.0118
181	0.5515	0.2550	0.0118
182	0.5514	0.2547	0.0118
183	0.5508	0.2545	0.0118
184	0.5502	0.2550	0.0118
185	0.5496	0.2550	0.0118
186	0.5498	0.2554	0.0118
187	0.5489	0.2552	0.0118
188	0.5486	0.2558	0.0118
189	0.5479	0.2562	0.0118
190	0.5481	0.2557	0.0118
191	0.5468	0.2564	0.0118
192	0.5460	0.2564	0.0118
193	0.5459	0.2570	0.0118
194	0.5455	0.2565	0.0118
195	0.5455	0.2571	0.0118
196	0.5443	0.2578	0.0118
197	0.5442	0.2581	0.0118
198	0.5431	0.2579	0.0118
199	0.5429	0.2582	0.0118
200	0.5424	0.2587	0.0118
201	0.5413	0.2588	0.0118
202	0.5410	0.2595	0.0118
203	0.5413	0.2594	0.0118
204	0.5400	0.2600	0.0118
205	0.5390	0.2604	0.0118
206	0.5385	0.2608	0.0118
207	0.5379	0.2612	0.0118
208	0.5372	0.2617	0.0118
209	0.5366	0.2615	0.0118
210	0.5365	0.2622	0.0118
211	0.5354	0.2622	0.0118
212	0.5345	0.2628	0.0118
213	0.5338	0.2638	0.0118
214	0.5335	0.2635	0.0118
215	0.5329	0.2643	0.0118
216	0.5323	0.2647	0.0118
217	0.5316	0.2653	0.0118
218	0.5311	0.2658	0.0118
219	0.5303	0.2659	0.0118
220	0.5297	0.2666	0.0118
221	0.5290	0.2671	0.0118
222	0.5289	0.2671	0.0118
223	0.5280	0.2673	0.0118
224	0.5266	0.2684	0.0118
225	0.5260	0.2687	0.0118
226	0.5258	0.2687	0.0118
227	0.5246	0.2696	0.0118
228	0.5241	0.2701	0.0118
229	0.5230	0.2708	0.0118
230	0.5230	0.2710	0.0118
231	0.5219	0.2712	0.0118
232	0.5215	0.2721	0.0118
233	0.5213	0.2716	0.0118
234	0.5210	0.2724	0.0118
235	0.5196	0.2732	0.0118
236	0.5189	0.2737	0.0118
237	0.5185	0.2743	0.0118
238	0.5179	0.2747	0.0118
239	0.5169	0.2756	0.0118
240	0.5159	0.2762	0.0118
241	0.5148	0.2765	0.0118
242	0.5148	0.2768	0.0118
243	0.5142	0.2773	0.0118
244	0.5132	0.2780	0.0118
245	0.5130	0.2782	0.0118
246	0.5116	0.2788	0.0118
247	0.5119	0.2789	0.0118
248	0.5108	0.2798	0.0118
249	0.5095	0.2797	0.0118
250	0.5093	0.2809	0.0118
251	0.5090	0.2806	0.0118
252	0.5079	0.2817	0.0118
253	0.5071	0.2822	0.0118
254	0.5062	0.2831	0.0118
255	0.5054	0.2836	0.0118
256	0.5050	0.2840	0.0118
257	0.5037	0.2852	0.0118
258	0.5031	0.2853	0.0118
259	0.5026	0.2858	0.0118
260	0.5012	0.2870	0.0118
261	0.5006	0.2871	0.0118
262	0.5006	0.2875	0.0118
263	0.4988	0.2882	0.0118
264	0.4982	0.2888	0.0118
265	0.4971	0.2895	0.0118
266	0.4967	0.2896	0.0118
267	0.4964	0.2904	0.0118
268	0.4954	0.2916	0.0118
269	0.4945	0.2913	0.0118
270	0.4942	0.2923	0.0118
271	0.4929	0.2929	0.0118
272	0.4927	0.2936	0.0118
273	0.4915	0.2940	0.0118
274	0.4904	0.2948	0.0118
275	0.4901	0.2957	0.0118
276	0.4889	0.2961	0.0118
277	0.4884	0.2967	0.0118
278	0.4879	0.2968	0.0118
279	0.4866	0.2974	0.0118
280	0.4862	0.2978	0.0118
281	0.4853	0.2981	0.0118
282	0.4845	0.2991	0.0118
283	0.4844	0.2996	0.0118
284	0.4838	0.2996	0.0118
285	0.4832	0.3005	0.0118
286	0.4824	0.3006	0.0118
287	0.4817	0.3009	0.0118
288	0.4812	0.3016	0.0118
289	0.4803	0.3020	0.0118
290	0.4799	0.3029	0.0118
291	0.4790	0.3030	0.0118
292	0.4790	0.3029	0.0118
293	0.4786	0.3039	0.0118
294	0.4779	0.3048	0.0118
295	0.4776	0.3047	0.0118
296	0.4766	0.3054	0.0118
297	0.4763	0.3058	0.0118
298	0.4761	0.3057	0.0118
299	0.4749	0.3065	0.0118
300	0.4749	0.3063	0.0118
301	0.4739	0.3065	0.0118
302	0.4739	0.3065	0.0118
303	0.4735	0.3067	0.0118
304	0.4728	0.3071	0.0118
305	0.4726	0.3077	0.0118
306	0.4723	0.3078	0.0118
307	0.4720	0.3081	0.0118
308	0.4715	0.3086	0.0118
309	0.4715	0.3087	0.0118
310	0.4707	0.3088	0.0118
311	0.4705	0.3095	0.0118
312	0.4700	0.3098	0.0118
313	0.4694	0.3098	0.0118
314	0.4694	0.3099	0.0118
315	0.4683	0.3100	0.0118
316	0.4684	0.3101	0.0118
317	0.4681	0.3107	0.0118
318	0.4676	0.3108	0.0118
319	0.4676	0.3109	0.0118
320	0.4673	0.3112	0.0118
321	0.4665	0.3119	0.0118
322	0.4668	0.3119	0.0118
323	0.4660	0.3121	0.0118
324	0.4658	0.3122	0.0118
325	0.4655	0.3124	0.0118
326	0.4650	0.3122	0.0118
327	0.4647	0.3128	0.0118
328	0.4645	0.3130	0.0118
329	0.4642	0.3132	0.0118
330	0.4639	0.3129	0.0118
331	0.4639	0.3131	0.0118
332	0.4633	0.3136	0.0118
333	0.4632	0.3130	0.0118
334	0.4630	0.3135	0.0118
335	0.4630	0.3128	0.0118
336	0.4632	0.3125	0.0118
337	0.4634	0.3127	0.0118
338	0.4631	0.3127	0.0118
339	0.4632	0.3124	0.0118
340	0.4629	0.3123	0.0118
341	0.4631	0.3125	0.0118
342	0.4630	0.3121	0.0118
343	0.4624	0.3118	0.0118
344	0.4627	0.3115	0.0118
345	0.4629	0.3115	0.0118
346	0.4627	0.3115	0.0118
347	0.4631	0.3116	0.0118
348	0.4634	0.3115	0.0118
349	0.4627	0.3112	0.0118
350	0.4626	0.3110	0.0118
351	0.4629	0.3108	0.0118
352	0.4629	0.3109	0.0118
353	0.4630	0.3105	0.0118
354	0.4625	0.3103	0.0118
355	0.4630	0.3100	0.0118
356	0.4623	0.3100	0.0118
357	0.4624	0.3093	0.0118
358	0.4627	0.3096	0.0118
359	0.4622	0.3094	0.0118
360	0.4624	0.3093	0.0118
361	0.4622	0.3089	0.0118
362	0.4625	0.3088	0.0118
363	0.4626	0.3085	0.0118
364	0.4623	0.3085	0.0118
365	0.4616	0.3086	0.0118
366	0.4620	0.3080	0.0118
367	0.4616	0.3079	0.0118
368	0.4619	0.3074	0.0118
369	0.4616	0.3075	0.0118
370	0.4614	0.3072	0.0118
371	0.4615	0.3072	0.0118
372	0.4612	0.3067	0.0118
373	0.4613	0.3062	0.0118
374	0.4610	0.3064	0.0118
375	0.4613	0.3060	0.0118
376	0.4608	0.3058	0.0118
377	0.4612	0.3053	0.0118
378	0.4611	0.3048	0.0118
379	0.4601	0.3048	0.0118
380	0.4604	0.3048	0.0118
381	0.4602	0.3043	0.0118
382	0.4601	0.3042	0.0118
383	0.4602	0.3044	0.0118
384	0.4601	0.3039	0.0118
385	0.4603	0.3037	0.0118
386	0.4597	0.3030	0.0118
387	0.4594	0.3023	0.0118
388	0.4597	0.3024	0.0118
389	0.4589	0.3022	0.0118
390	0.4585	0.3022	0.0118
391	0.4587	0.3019	0.0118
392	0.4587	0.3018	0.0118
393	0.4586	0.3015	0.0118
394	0.4579	0.3012	0.0118
395	0.4580	0.3011	0.0118
396	0.4578	0.3005	0.0118
397	0.4574	0.3003	0.0118
398	0.4571	0.3000	0.0118
399	0.4570	0.3001	0.0118
400	0.4566	0.3000	0.0118
401	0.4561	0.2999	0.0118
402	0.4557	0.2997	0.0118
403	0.4559	0.2996	0.0118
404	0.4555	0.2992	0.0118
405	0.4550	0.2994	0.0118
406	0.4552	0.2990	0.0118
407	0.4545	0.2986	0.0118
408	0.4540	0.2989	0.0118
409	0.4539	0.2987	0.0118
410	0.4534	0.2987	0.0118
411	0.4536	0.2987	0.0118
412	0.4527	0.2985	0.0118
413	0.4524	0.2983	0.0118
