	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d
	FP3	FP3	FP3
	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z
1	0.4810	0.3159	0.0119
2	0.4809	0.3162	0.0119
3	0.4810	0.3160	0.0119
4	0.4811	0.3161	0.0119
5	0.4819	0.3161	0.0119
6	0.4816	0.3159	0.0119
7	0.4815	0.3155	0.0119
8	0.4813	0.3151	0.0119
9	0.4822	0.3156	0.0119
10	0.4825	0.3149	0.0119
11	0.4824	0.3152	0.0119
12	0.4825	0.3148	0.0119
13	0.4833	0.3146	0.0119
14	0.4835	0.3145	0.0119
15	0.4837	0.3142	0.0119
16	0.4833	0.3140	0.0119
17	0.4838	0.3138	0.0119
18	0.4844	0.3134	0.0119
19	0.4838	0.3132	0.0119
20	0.4840	0.3131	0.0119
21	0.4848	0.3130	0.0119
22	0.4851	0.3131	0.0119
23	0.4853	0.3125	0.0119
24	0.4854	0.3122	0.0119
25	0.4853	0.3120	0.0119
26	0.4859	0.3119	0.0119
27	0.4854	0.3119	0.0119
28	0.4854	0.3111	0.0119
29	0.4861	0.3112	0.0119
30	0.4865	0.3109	0.0119
31	0.4865	0.3105	0.0119
32	0.4866	0.3107	0.0119
33	0.4867	0.3104	0.0119
34	0.4872	0.3100	0.0119
35	0.4876	0.3100	0.0119
36	0.4875	0.3103	0.0119
37	0.4877	0.3100	0.0119
38	0.4879	0.3098	0.0119
39	0.4883	0.3097	0.0119
40	0.4877	0.3092	0.0119
41	0.4885	0.3095	0.0119
42	0.4881	0.3095	0.0119
43	0.4885	0.3091	0.0119
44	0.4884	0.3093	0.0119
45	0.4890	0.3095	0.0119
46	0.4890	0.3097	0.0119
47	0.4884	0.3094	0.0119
48	0.4887	0.3094	0.0119
49	0.4892	0.3092	0.0119
50	0.4888	0.3095	0.0119
51	0.4891	0.3090	0.0119
52	0.4887	0.3093	0.0119
53	0.4888	0.3092	0.0119
54	0.4892	0.3094	0.0119
55	0.4893	0.3095	0.0119
56	0.4890	0.3093	0.0119
57	0.4888	0.3096	0.0119
58	0.4891	0.3093	0.0119
59	0.4887	0.3089	0.0119
60	0.4885	0.3092	0.0119
61	0.4886	0.3095	0.0119
62	0.4887	0.3091	0.0119
63	0.4882	0.3095	0.0119
64	0.4884	0.3090	0.0119
65	0.4883	0.3091	0.0119
66	0.4880	0.3091	0.0119
67	0.4881	0.3097	0.0119
68	0.4876	0.3092	0.0119
69	0.4873	0.3093	0.0119
70	0.4880	0.3093	0.0119
71	0.4879	0.3088	0.0119
72	0.4877	0.3095	0.0119
73	0.4874	0.3094	0.0119
74	0.4872	0.3092	0.0119
75	0.4872	0.3094	0.0119
76	0.4868	0.3091	0.0119
77	0.4867	0.3089	0.0118
78	0.4868	0.3090	0.0119
79	0.4862	0.3090	0.0118
80	0.4860	0.3090	0.0118
81	0.4857	0.3088	0.0118
82	0.4864	0.3086	0.0118
83	0.4854	0.3083	0.0118
84	0.4853	0.3088	0.0118
85	0.4855	0.3083	0.0118
86	0.4853	0.3081	0.0118
87	0.4849	0.3079	0.0118
88	0.4848	0.3080	0.0118
89	0.4848	0.3081	0.0118
90	0.4844	0.3082	0.0118
91	0.4843	0.3083	0.0118
92	0.4845	0.3077	0.0118
93	0.4841	0.3085	0.0118
94	0.4842	0.3083	0.0118
95	0.4835	0.3081	0.0118
96	0.4837	0.3084	0.0118
97	0.4836	0.3086	0.0118
98	0.4836	0.3079	0.0118
99	0.4831	0.3081	0.0118
100	0.4832	0.3083	0.0118
101	0.4831	0.3083	0.0118
102	0.4824	0.3089	0.0118
103	0.4827	0.3088	0.0118
104	0.4824	0.3085	0.0118
105	0.4827	0.3088	0.0118
106	0.4820	0.3089	0.0118
107	0.4820	0.3084	0.0118
108	0.4813	0.3089	0.0118
109	0.4816	0.3087	0.0118
110	0.4815	0.3088	0.0118
111	0.4815	0.3094	0.0118
112	0.4814	0.3090	0.0118
113	0.4805	0.3089	0.0118
114	0.4812	0.3093	0.0118
115	0.4811	0.3092	0.0118
116	0.4805	0.3093	0.0118
117	0.4806	0.3095	0.0118
118	0.4805	0.3094	0.0118
119	0.4804	0.3091	0.0118
120	0.4804	0.3090	0.0118
121	0.4802	0.3093	0.0118
122	0.4802	0.3096	0.0118
123	0.4799	0.3096	0.0118
124	0.4798	0.3098	0.0118
125	0.4798	0.3098	0.0118
126	0.4800	0.3098	0.0118
127	0.4798	0.3092	0.0118
128	0.4798	0.3095	0.0118
129	0.4801	0.3098	0.0118
130	0.4796	0.3099	0.0118
131	0.4794	0.3100	0.0118
132	0.4793	0.3098	0.0118
133	0.4799	0.3101	0.0118
134	0.4795	0.3102	0.0118
135	0.4795	0.3103	0.0118
136	0.4790	0.3101	0.0118
137	0.4793	0.3105	0.0118
138	0.4794	0.3105	0.0118
139	0.4793	0.3112	0.0118
140	0.4792	0.3107	0.0118
141	0.4787	0.3110	0.0118
142	0.4788	0.3110	0.0118
143	0.4787	0.3111	0.0118
144	0.4787	0.3114	0.0118
145	0.4788	0.3114	0.0118
146	0.4788	0.3116	0.0118
147	0.4792	0.3118	0.0118
148	0.4785	0.3118	0.0118
149	0.4787	0.3117	0.0118
150	0.4789	0.3118	0.0118
151	0.4787	0.3119	0.0118
152	0.4783	0.3121	0.0118
153	0.4789	0.3118	0.0118
154	0.4789	0.3124	0.0118
155	0.4788	0.3123	0.0118
156	0.4789	0.3124	0.0118
157	0.4793	0.3128	0.0118
158	0.4790	0.3127	0.0118
159	0.4788	0.3123	0.0118
160	0.4789	0.3124	0.0118
161	0.4788	0.3128	0.0118
162	0.4791	0.3128	0.0118
163	0.4792	0.3123	0.0118
164	0.4787	0.3122	0.0118
165	0.4796	0.3125	0.0118
166	0.4799	0.3126	0.0118
167	0.4796	0.3125	0.0118
168	0.4799	0.3122	0.0118
169	0.4798	0.3118	0.0118
170	0.4805	0.3123	0.0118
171	0.4802	0.3128	0.0118
172	0.4803	0.3124	0.0118
173	0.4805	0.3122	0.0118
174	0.4804	0.3119	0.0118
175	0.4811	0.3116	0.0118
176	0.4814	0.3114	0.0118
177	0.4815	0.3119	0.0118
178	0.4811	0.3117	0.0118
179	0.4813	0.3115	0.0118
180	0.4823	0.3108	0.0118
181	0.4815	0.3109	0.0118
182	0.4825	0.3109	0.0118
183	0.4826	0.3103	0.0118
184	0.4821	0.3102	0.0118
185	0.4829	0.3101	0.0118
186	0.4830	0.3094	0.0118
187	0.4841	0.3094	0.0118
188	0.4834	0.3086	0.0118
189	0.4840	0.3089	0.0118
190	0.4845	0.3081	0.0118
191	0.4850	0.3081	0.0118
192	0.4852	0.3073	0.0118
193	0.4853	0.3076	0.0118
194	0.4860	0.3072	0.0118
195	0.4860	0.3070	0.0118
196	0.4862	0.3068	0.0118
197	0.4864	0.3061	0.0118
198	0.4866	0.3062	0.0118
199	0.4877	0.3053	0.0118
200	0.4878	0.3050	0.0118
201	0.4881	0.3046	0.0118
202	0.4883	0.3043	0.0118
203	0.4883	0.3041	0.0118
204	0.4891	0.3035	0.0118
205	0.4894	0.3029	0.0118
206	0.4895	0.3027	0.0118
207	0.4900	0.3020	0.0118
208	0.4909	0.3016	0.0118
209	0.4913	0.3012	0.0118
210	0.4915	0.3010	0.0118
211	0.4919	0.3011	0.0118
212	0.4924	0.3004	0.0118
213	0.4927	0.3001	0.0118
214	0.4932	0.3000	0.0118
215	0.4937	0.2995	0.0118
216	0.4940	0.2997	0.0118
217	0.4943	0.2992	0.0118
218	0.4948	0.2990	0.0118
219	0.4950	0.2990	0.0118
220	0.4954	0.2987	0.0118
221	0.4960	0.2985	0.0118
222	0.4961	0.2984	0.0118
223	0.4973	0.2979	0.0118
224	0.4973	0.2981	0.0118
225	0.4980	0.2976	0.0118
226	0.4979	0.2973	0.0118
227	0.4985	0.2977	0.0118
228	0.4987	0.2974	0.0118
229	0.4990	0.2968	0.0118
230	0.4994	0.2971	0.0118
231	0.4997	0.2967	0.0118
232	0.5003	0.2970	0.0118
233	0.5007	0.2970	0.0118
234	0.5008	0.2968	0.0118
235	0.5014	0.2965	0.0118
236	0.5018	0.2966	0.0118
237	0.5019	0.2968	0.0118
238	0.5023	0.2964	0.0118
239	0.5022	0.2968	0.0118
240	0.5029	0.2969	0.0119
241	0.5037	0.2964	0.0119
242	0.5033	0.2966	0.0119
243	0.5039	0.2960	0.0118
244	0.5042	0.2963	0.0119
245	0.5045	0.2962	0.0119
246	0.5048	0.2959	0.0119
247	0.5049	0.2962	0.0119
248	0.5054	0.2962	0.0119
249	0.5051	0.2958	0.0119
250	0.5057	0.2962	0.0119
251	0.5060	0.2960	0.0119
252	0.5064	0.2959	0.0119
253	0.5064	0.2957	0.0119
254	0.5063	0.2958	0.0119
255	0.5068	0.2953	0.0119
256	0.5069	0.2955	0.0119
257	0.5072	0.2958	0.0119
258	0.5075	0.2953	0.0119
259	0.5072	0.2951	0.0119
260	0.5078	0.2956	0.0119
261	0.5079	0.2958	0.0119
262	0.5076	0.2954	0.0119
263	0.5083	0.2952	0.0119
264	0.5082	0.2956	0.0119
265	0.5084	0.2955	0.0119
266	0.5082	0.2953	0.0119
267	0.5080	0.2954	0.0119
268	0.5082	0.2954	0.0119
269	0.5090	0.2952	0.0119
270	0.5085	0.2956	0.0119
271	0.5089	0.2956	0.0119
272	0.5089	0.2953	0.0119
273	0.5091	0.2959	0.0119
274	0.5087	0.2954	0.0119
275	0.5087	0.2950	0.0119
276	0.5095	0.2953	0.0119
277	0.5093	0.2950	0.0119
278	0.5088	0.2951	0.0119
279	0.5090	0.2953	0.0119
280	0.5094	0.2954	0.0119
281	0.5093	0.2947	0.0119
282	0.5092	0.2953	0.0119
283	0.5098	0.2950	0.0119
284	0.5093	0.2954	0.0119
285	0.5095	0.2953	0.0119
286	0.5102	0.2955	0.0119
287	0.5096	0.2954	0.0119
288	0.5093	0.2955	0.0119
289	0.5095	0.2954	0.0119
290	0.5101	0.2956	0.0119
291	0.5101	0.2956	0.0119
292	0.5100	0.2955	0.0119
293	0.5098	0.2953	0.0119
294	0.5102	0.2959	0.0119
295	0.5103	0.2957	0.0119
296	0.5102	0.2958	0.0119
297	0.5101	0.2957	0.0119
298	0.5101	0.2960	0.0119
299	0.5099	0.2964	0.0119
300	0.5109	0.2962	0.0119
301	0.5111	0.2964	0.0119
302	0.5108	0.2969	0.0119
303	0.5104	0.2963	0.0119
304	0.5101	0.2969	0.0119
305	0.5112	0.2965	0.0119
306	0.5108	0.2969	0.0119
307	0.5108	0.2970	0.0119
308	0.5112	0.2973	0.0119
309	0.5112	0.2973	0.0119
310	0.5118	0.2975	0.0119
311	0.5112	0.2976	0.0119
312	0.5114	0.2983	0.0119
313	0.5117	0.2984	0.0119
314	0.5116	0.2983	0.0119
315	0.5119	0.2987	0.0119
316	0.5119	0.2986	0.0119
317	0.5126	0.2986	0.0119
318	0.5123	0.2997	0.0119
319	0.5119	0.2994	0.0119
320	0.5125	0.2995	0.0119
321	0.5127	0.2998	0.0119
322	0.5126	0.3000	0.0119
323	0.5128	0.3004	0.0119
324	0.5132	0.3005	0.0119
325	0.5129	0.3003	0.0119
326	0.5129	0.3009	0.0119
327	0.5142	0.3010	0.0119
328	0.5133	0.3012	0.0119
329	0.5138	0.3016	0.0119
330	0.5133	0.3016	0.0119
331	0.5137	0.3017	0.0119
332	0.5138	0.3020	0.0119
333	0.5143	0.3021	0.0119
334	0.5142	0.3028	0.0119
335	0.5147	0.3028	0.0119
336	0.5148	0.3027	0.0119
337	0.5150	0.3032	0.0119
338	0.5148	0.3034	0.0119
339	0.5147	0.3033	0.0119
340	0.5149	0.3036	0.0119
341	0.5153	0.3039	0.0119
342	0.5150	0.3043	0.0119
343	0.5154	0.3042	0.0119
344	0.5155	0.3045	0.0119
345	0.5153	0.3049	0.0119
346	0.5155	0.3048	0.0119
347	0.5158	0.3048	0.0119
348	0.5163	0.3053	0.0119
349	0.5158	0.3052	0.0119
350	0.5161	0.3049	0.0119
351	0.5162	0.3055	0.0119
352	0.5162	0.3057	0.0119
353	0.5161	0.3053	0.0119
354	0.5167	0.3057	0.0119
355	0.5169	0.3058	0.0119
356	0.5165	0.3057	0.0119
357	0.5162	0.3062	0.0119
358	0.5171	0.3062	0.0119
359	0.5168	0.3067	0.0119
360	0.5166	0.3068	0.0119
361	0.5175	0.3060	0.0119
362	0.5173	0.3068	0.0119
363	0.5170	0.3066	0.0119
364	0.5170	0.3066	0.0119
365	0.5171	0.3066	0.0119
366	0.5172	0.3069	0.0119
367	0.5171	0.3073	0.0119
368	0.5178	0.3070	0.0119
369	0.5176	0.3071	0.0119
370	0.5176	0.3075	0.0119
371	0.5174	0.3079	0.0119
372	0.5174	0.3072	0.0119
373	0.5177	0.3072	0.0119
374	0.5176	0.3076	0.0119
375	0.5177	0.3075	0.0119
376	0.5177	0.3076	0.0119
377	0.5179	0.3077	0.0119
378	0.5180	0.3078	0.0119
379	0.5181	0.3079	0.0119
380	0.5180	0.3075	0.0119
381	0.5179	0.3080	0.0119
382	0.5178	0.3079	0.0119
383	0.5181	0.3082	0.0119
384	0.5178	0.3079	0.0119
385	0.5176	0.3083	0.0119
386	0.5182	0.3081	0.0119
387	0.5176	0.3084	0.0119
388	0.5180	0.3090	0.0119
389	0.5187	0.3085	0.0119
390	0.5183	0.3086	0.0119
391	0.5185	0.3089	0.0119
392	0.5185	0.3090	0.0119
393	0.5188	0.3089	0.0119
394	0.5185	0.3091	0.0119
395	0.5183	0.3091	0.0119
396	0.5184	0.3086	0.0119
397	0.5185	0.3088	0.0119
398	0.5186	0.3095	0.0119
399	0.5182	0.3089	0.0119
400	0.5185	0.3094	0.0119
401	0.5190	0.3094	0.0119
402	0.5183	0.3094	0.0119
403	0.5186	0.3095	0.0119
404	0.5186	0.3097	0.0119
405	0.5186	0.3094	0.0119
406	0.5189	0.3096	0.0119
407	0.5187	0.3094	0.0119
408	0.5190	0.3097	0.0119
409	0.5186	0.3094	0.0119
410	0.5182	0.3095	0.0119
411	0.5189	0.3094	0.0119
412	0.5193	0.3096	0.0119
413	0.5190	0.3098	0.0119
