	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\PCTR 1.c3d
	FP3	FP3	FP3
	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z
1	6.6	-11.8	752.6
2	6.4	-11.7	752.5
3	6.3	-11.6	752.4
4	6.2	-11.6	752.3
5	6.0	-11.5	752.2
6	5.9	-11.4	752.0
7	5.7	-11.3	751.9
8	5.6	-11.2	751.7
9	5.4	-11.1	751.5
10	5.2	-11.0	751.3
11	5.1	-10.9	751.1
12	4.9	-10.7	750.9
13	4.7	-10.6	750.7
14	4.5	-10.5	750.5
15	4.3	-10.4	750.3
16	4.1	-10.3	750.1
17	3.9	-10.2	749.9
18	3.7	-10.0	749.7
19	3.4	-9.9	749.5
20	3.2	-9.8	749.3
21	3.0	-9.7	749.1
22	2.8	-9.5	748.9
23	2.5	-9.4	748.7
24	2.3	-9.3	748.5
25	2.1	-9.2	748.3
26	1.8	-9.0	748.1
27	1.6	-8.9	748.0
28	1.3	-8.8	747.8
29	1.1	-8.6	747.6
30	0.8	-8.5	747.5
31	0.6	-8.4	747.3
32	0.4	-8.3	747.2
33	0.1	-8.1	747.1
34	-0.1	-8.0	747.0
35	-0.4	-7.9	746.9
36	-0.6	-7.8	746.8
37	-0.8	-7.6	746.7
38	-1.1	-7.5	746.6
39	-1.3	-7.4	746.5
40	-1.5	-7.3	746.4
41	-1.7	-7.1	746.4
42	-1.9	-7.0	746.3
43	-2.1	-6.9	746.3
44	-2.2	-6.8	746.2
45	-2.4	-6.7	746.2
46	-2.6	-6.5	746.2
47	-2.7	-6.4	746.2
48	-2.9	-6.3	746.2
49	-3.0	-6.2	746.2
50	-3.1	-6.1	746.2
51	-3.2	-5.9	746.2
52	-3.3	-5.8	746.3
53	-3.3	-5.7	746.3
54	-3.4	-5.6	746.3
55	-3.4	-5.5	746.4
56	-3.5	-5.3	746.4
57	-3.5	-5.2	746.5
58	-3.5	-5.1	746.6
59	-3.4	-5.0	746.7
60	-3.4	-4.9	746.7
61	-3.3	-4.7	746.8
