	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1	0.3924	0.2589	0.0116	0.3848	0.2397	0.0115	0.3907	0.2954	0.0116
2	0.3930	0.2586	0.0116	0.3852	0.2398	0.0115	0.3908	0.2959	0.0116
3	0.3930	0.2582	0.0116	0.3844	0.2393	0.0115	0.3907	0.2951	0.0116
4	0.3934	0.2588	0.0116	0.3843	0.2400	0.0115	0.3909	0.2951	0.0116
5	0.3930	0.2588	0.0116	0.3833	0.2394	0.0115	0.3908	0.2953	0.0116
6	0.3936	0.2587	0.0116	0.3846	0.2398	0.0115	0.3905	0.2942	0.0116
7	0.3941	0.2589	0.0116	0.3846	0.2400	0.0115	0.3907	0.2950	0.0116
8	0.3936	0.2585	0.0116	0.3840	0.2396	0.0115	0.3916	0.2939	0.0116
9	0.3936	0.2589	0.0116	0.3845	0.2393	0.0115	0.3922	0.2936	0.0116
10	0.3930	0.2586	0.0116	0.3841	0.2398	0.0115	0.3910	0.2939	0.0116
11	0.3927	0.2584	0.0116	0.3844	0.2403	0.0115	0.3912	0.2935	0.0116
12	0.3940	0.2585	0.0116	0.3839	0.2400	0.0115	0.3913	0.2930	0.0116
13	0.3941	0.2582	0.0116	0.3844	0.2398	0.0115	0.3919	0.2930	0.0116
14	0.3941	0.2580	0.0116	0.3847	0.2402	0.0115	0.3912	0.2927	0.0116
15	0.3938	0.2582	0.0116	0.3840	0.2405	0.0115	0.3914	0.2921	0.0116
16	0.3941	0.2579	0.0116	0.3838	0.2406	0.0115	0.3914	0.2925	0.0116
17	0.3942	0.2583	0.0116	0.3845	0.2408	0.0115	0.3915	0.2920	0.0116
18	0.3937	0.2577	0.0116	0.3842	0.2404	0.0115	0.3918	0.2919	0.0116
19	0.3936	0.2579	0.0116	0.3842	0.2412	0.0115	0.3915	0.2913	0.0116
20	0.3941	0.2583	0.0116	0.3847	0.2415	0.0115	0.3921	0.2913	0.0116
21	0.3933	0.2577	0.0116	0.3842	0.2422	0.0115	0.3924	0.2911	0.0116
22	0.3940	0.2580	0.0116	0.3840	0.2421	0.0115	0.3919	0.2907	0.0116
23	0.3940	0.2576	0.0116	0.3845	0.2420	0.0115	0.3913	0.2900	0.0116
24	0.3941	0.2573	0.0116	0.3838	0.2423	0.0115	0.3918	0.2892	0.0116
25	0.3939	0.2581	0.0116	0.3831	0.2421	0.0115	0.3920	0.2889	0.0116
26	0.3939	0.2567	0.0116	0.3836	0.2430	0.0115	0.3923	0.2885	0.0116
