	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1	-19.2	-51.5	563.1	-1.6	-29.7	486.8	-2.2	-37.8	533.7
2	-19.3	-51.3	563.1	-1.6	-29.7	486.8	-2.3	-37.6	533.3
3	-19.4	-51.1	563.1	-1.7	-29.7	486.7	-2.3	-37.5	532.9
4	-19.6	-50.9	563.1	-1.8	-29.8	486.7	-2.4	-37.3	532.6
5	-19.7	-50.8	563.0	-1.8	-29.8	486.7	-2.5	-37.1	532.2
6	-19.8	-50.6	562.9	-1.9	-29.9	486.7	-2.6	-37.0	531.8
7	-19.9	-50.4	562.8	-2.0	-29.9	486.7	-2.7	-36.8	531.4
8	-20.0	-50.2	562.6	-2.1	-30.0	486.7	-2.7	-36.6	531.0
9	-20.1	-50.0	562.3	-2.1	-30.0	486.8	-2.8	-36.4	530.6
10	-20.2	-49.8	562.1	-2.2	-30.1	486.8	-2.9	-36.2	530.1
11	-20.3	-49.7	561.7	-2.3	-30.2	486.9	-2.9	-36.0	529.7
12	-20.4	-49.5	561.3	-2.4	-30.2	487.0	-3.0	-35.8	529.3
13	-20.5	-49.3	560.9	-2.5	-30.3	487.1	-3.1	-35.6	528.8
14	-20.5	-49.1	560.4	-2.6	-30.4	487.3	-3.1	-35.3	528.3
15	-20.6	-48.9	559.9	-2.8	-30.4	487.4	-3.2	-35.1	527.9
16	-20.7	-48.7	559.3	-2.9	-30.5	487.6	-3.2	-34.8	527.4
17	-20.7	-48.5	558.6	-3.0	-30.6	487.8	-3.3	-34.6	526.9
18	-20.8	-48.3	557.9	-3.1	-30.7	488.0	-3.4	-34.3	526.4
19	-20.8	-48.1	557.2	-3.2	-30.8	488.3	-3.4	-34.1	525.9
20	-20.9	-47.9	556.4	-3.4	-30.9	488.5	-3.5	-33.8	525.4
21	-20.9	-47.7	555.5	-3.5	-31.0	488.8	-3.5	-33.5	524.9
22	-20.9	-47.5	554.6	-3.6	-31.0	489.2	-3.6	-33.2	524.3
23	-21.0	-47.3	553.6	-3.8	-31.1	489.6	-3.6	-32.9	523.8
24	-21.0	-47.1	552.6	-3.9	-31.2	490.0	-3.6	-32.6	523.2
25	-21.0	-46.9	551.5	-4.1	-31.3	490.4	-3.7	-32.3	522.7
26	-21.0	-46.7	550.4	-4.2	-31.4	490.9	-3.7	-32.0	522.1
27	-21.0	-46.5	549.2	-4.3	-31.4	491.4	-3.8	-31.7	521.5
28	-20.9	-46.3	548.0	-4.5	-31.5	492.0	-3.8	-31.4	520.9
29	-20.9	-46.1	546.7	-4.6	-31.6	492.6	-3.8	-31.0	520.3
30	-20.9	-45.9	545.4	-4.8	-31.7	493.2	-3.8	-30.7	519.7
31	-20.9	-45.6	544.0	-4.9	-31.7	493.9	-3.9	-30.4	519.0
32	-20.8	-45.4	542.6	-5.1	-31.8	494.6	-3.9	-30.0	518.4
33	-20.8	-45.2	541.2	-5.2	-31.8	495.3	-3.9	-29.7	517.7
34	-20.7	-45.0	539.7	-5.4	-31.8	496.1	-3.9	-29.3	517.1
35	-20.6	-44.8	538.1	-5.5	-31.9	497.0	-3.9	-29.0	516.4
36	-20.6	-44.6	536.5	-5.7	-31.9	497.9	-3.9	-28.6	515.7
37	-20.5	-44.4	534.9	-5.8	-31.9	498.8	-3.9	-28.3	515.0
38	-20.4	-44.2	533.2	-6.0	-31.9	499.8	-3.9	-27.9	514.3
39	-20.3	-44.0	531.6	-6.1	-31.9	500.8	-3.9	-27.6	513.6
40	-20.2	-43.8	529.8	-6.3	-31.9	501.8	-3.9	-27.2	512.9
41	-20.1	-43.5	528.1	-6.4	-31.9	502.9	-3.9	-26.9	512.1
42	-20.0	-43.3	526.3	-6.5	-31.8	504.1	-3.9	-26.5	511.4
43	-19.9	-43.1	524.4	-6.7	-31.8	505.3	-3.9	-26.2	510.6
44	-19.8	-42.9	522.6	-6.8	-31.7	506.5	-3.8	-25.8	509.9
45	-19.6	-42.7	520.7	-6.9	-31.7	507.7	-3.8	-25.5	509.1
46	-19.5	-42.4	518.8	-7.0	-31.6	509.0	-3.8	-25.2	508.3
47	-19.3	-42.2	516.9	-7.2	-31.5	510.3	-3.7	-24.8	507.5
48	-19.2	-42.0	514.9	-7.3	-31.4	511.7	-3.7	-24.5	506.7
49	-19.0	-41.8	513.0	-7.4	-31.3	513.0	-3.7	-24.2	505.9
50	-18.9	-41.5	511.0	-7.5	-31.2	514.4	-3.6	-23.9	505.1
51	-18.7	-41.3	509.0	-7.5	-31.0	515.9	-3.5	-23.6	504.3
52	-18.5	-41.1	507.0	-7.6	-30.9	517.3	-3.5	-23.3	503.5
53	-18.4	-40.9	505.0	-7.7	-30.7	518.8	-3.4	-23.0	502.7
54	-18.2	-40.6	503.0	-7.8	-30.6	520.3	-3.4	-22.7	501.9
55	-18.0	-40.4	500.9	-7.8	-30.4	521.8	-3.3	-22.4	501.2
56	-17.8	-40.1	498.9	-7.9	-30.2	523.3	-3.2	-22.1	500.4
57	-17.6	-39.9	496.9	-7.9	-30.0	524.9	-3.1	-21.9	499.6
58	-17.4	-39.6	494.8	-7.9	-29.8	526.4	-3.0	-21.6	498.8
59	-17.2	-39.4	492.8	-7.9	-29.6	528.0	-3.0	-21.4	498.0
60	-17.0	-39.1	490.7	-8.0	-29.4	529.6	-2.9	-21.1	497.3
61	-16.8	-38.9	488.7	-7.9	-29.2	531.2	-2.8	-20.9	496.5
62	-16.6	-38.6	486.6	-7.9	-29.0	532.7	-2.7	-20.7	495.8
63	-16.3	-38.3	484.6	-7.9	-28.8	534.3	-2.6	-20.5	495.1
64	-16.1	-38.1	482.6	-7.9	-28.6	535.9	-2.5	-20.3	494.4
65	-15.9	-37.8	480.5	-7.8	-28.3	537.5	-2.4	-20.1	493.8
66	-15.6	-37.5	478.5	-7.8	-28.1	539.1	-2.3	-19.9	493.1
67	-15.4	-37.3	476.5	-7.7	-27.9	540.7	-2.2	-19.7	492.5
68	-15.2	-37.0	474.6	-7.7	-27.7	542.2	-2.0	-19.5	491.9
69	-14.9	-36.7	472.6	-7.6	-27.4	543.8	-1.9	-19.4	491.3
70	-14.6	-36.4	470.6	-7.5	-27.2	545.4	-1.8	-19.2	490.8
71	-14.4	-36.1	468.7	-7.4	-27.0	546.9	-1.7	-19.1	490.3
72	-14.1	-35.8	466.8	-7.3	-26.8	548.5	-1.6	-19.0	489.9
73	-13.9	-35.5	464.9	-7.2	-26.5	550.0	-1.5	-18.9	489.4
74	-13.6	-35.2	463.0	-7.0	-26.3	551.6	-1.4	-18.7	489.0
75	-13.3	-34.9	461.1	-6.9	-26.1	553.1	-1.2	-18.6	488.7
76	-13.0	-34.6	459.3	-6.7	-25.9	554.7	-1.1	-18.5	488.4
77	-12.7	-34.3	457.5	-6.6	-25.7	556.2	-1.0	-18.4	488.1
78	-12.4	-34.0	455.7	-6.4	-25.5	557.7	-0.9	-18.4	487.9
79	-12.1	-33.7	454.0	-6.2	-25.3	559.2	-0.8	-18.3	487.7
80	-11.8	-33.4	452.2	-6.1	-25.1	560.8	-0.7	-18.2	487.6
81	-11.5	-33.1	450.5	-5.9	-24.9	562.3	-0.6	-18.2	487.5
82	-11.2	-32.8	448.9	-5.7	-24.8	563.8	-0.5	-18.1	487.5
83	-10.9	-32.5	447.2	-5.5	-24.6	565.3	-0.4	-18.0	487.5
84	-10.6	-32.2	445.6	-5.3	-24.4	566.9	-0.3	-18.0	487.5
85	-10.3	-31.9	444.1	-5.0	-24.3	568.4	-0.2	-18.0	487.7
86	-9.9	-31.6	442.6	-4.8	-24.1	570.0	-0.1	-17.9	487.8
87	-9.6	-31.4	441.1	-4.6	-24.0	571.6	0.0	-17.9	488.1
88	-9.2	-31.1	439.6	-4.4	-23.8	573.1	0.1	-17.9	488.4
89	-8.9	-30.8	438.2	-4.1	-23.7	574.7	0.2	-17.8	488.7
90	-8.5	-30.5	436.8	-3.9	-23.6	576.4	0.3	-17.8	489.1
91	-8.2	-30.2	435.5	-3.6	-23.4	578.0	0.3	-17.8	489.5
92	-7.8	-30.0	434.2	-3.4	-23.3	579.7	0.4	-17.8	490.1
93	-7.4	-29.7	433.0	-3.2	-23.2	581.4	0.5	-17.8	490.6
94	-7.1	-29.4	431.8	-2.9	-23.1	583.1	0.5	-17.7	491.2
95	-6.7	-29.2	430.6	-2.7	-23.0	584.9	0.6	-17.7	491.9
96	-6.3	-28.9	429.5	-2.4	-22.9	586.7	0.6	-17.7	492.6
97	-5.9	-28.7	428.5	-2.2	-22.8	588.5	0.7	-17.7	493.4
98	-5.5	-28.5	427.5	-2.0	-22.7	590.4	0.7	-17.7	494.3
99	-5.1	-28.2	426.5	-1.7	-22.6	592.3	0.7	-17.7	495.2
100	-4.7	-28.0	425.6	-1.5	-22.5	594.3	0.7	-17.7	496.1
101	-4.2	-27.8	424.8	-1.3	-22.5	596.3	0.7	-17.7	497.1
102	-3.8	-27.6	424.0	-1.0	-22.4	598.4	0.7	-17.7	498.2
103	-3.4	-27.4	423.3	-0.8	-22.3	600.5	0.7	-17.7	499.3
104	-2.9	-27.2	422.6	-0.6	-22.2	602.6	0.7	-17.7	500.4
105	-2.5	-27.0	422.0	-0.4	-22.2	604.9	0.7	-17.6	501.6
106	-2.0	-26.9	421.4	-0.2	-22.1	607.2	0.7	-17.6	502.9
107	-1.6	-26.7	420.9	0.0	-22.0	609.5	0.6	-17.6	504.1
108	-1.1	-26.5	420.4	0.2	-22.0	611.9	0.6	-17.6	505.5
109	-0.7	-26.4	420.0	0.4	-21.9	614.3	0.5	-17.6	506.9
110	-0.2	-26.2	419.7	0.6	-21.8	616.9	0.5	-17.5	508.3
111	0.3	-26.1	419.4	0.7	-21.8	619.5	0.4	-17.5	509.7
112	0.8	-25.9	419.2	0.9	-21.7	622.1	0.3	-17.5	511.2
113	1.3	-25.8	419.1	1.1	-21.6	624.8	0.3	-17.4	512.8
114	1.7	-25.7	419.0	1.2	-21.6	627.6	0.2	-17.4	514.4
115	2.2	-25.6	419.0	1.3	-21.5	630.4	0.1	-17.4	516.0
116	2.7	-25.5	419.0	1.4	-21.5	633.3	-0.0	-17.3	517.6
117	3.2	-25.4	419.1	1.6	-21.4	636.3	-0.1	-17.3	519.3
118	3.7	-25.3	419.2	1.7	-21.3	639.3	-0.2	-17.2	521.0
119	4.2	-25.2	419.5	1.7	-21.3	642.4	-0.4	-17.2	522.7
120	4.7	-25.1	419.7	1.8	-21.2	645.6	-0.5	-17.1	524.5
121	5.2	-25.0	420.1	1.9	-21.2	648.8	-0.6	-17.0	526.3
122	5.7	-24.9	420.5	2.0	-21.1	652.1	-0.8	-17.0	528.1
123	6.2	-24.8	421.0	2.0	-21.0	655.4	-0.9	-16.9	530.0
124	6.7	-24.8	421.5	2.0	-21.0	658.8	-1.1	-16.8	531.8
125	7.2	-24.7	422.1	2.0	-20.9	662.3	-1.2	-16.8	533.7
126	7.7	-24.6	422.8	2.1	-20.9	665.8	-1.4	-16.7	535.6
127	8.2	-24.5	423.5	2.0	-20.8	669.4	-1.5	-16.6	537.6
128	8.7	-24.5	424.3	2.0	-20.7	673.0	-1.7	-16.5	539.5
129	9.2	-24.4	425.1	2.0	-20.7	676.7	-1.9	-16.5	541.5
130	9.7	-24.4	426.0	2.0	-20.6	680.4	-2.0	-16.4	543.5
131	10.2	-24.3	427.0	1.9	-20.5	684.2	-2.2	-16.3	545.5
132	10.7	-24.3	428.1	1.8	-20.5	688.0	-2.4	-16.2	547.5
