	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVL 4.c3d
	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1									
2									
3	18.94	5.64	-6.11	26.33	10.28	-13.33	19.72	11.88	-9.29
4	18.76	5.35	-6.08	26.69	10.08	-13.26	19.95	11.70	-9.24
5	18.61	5.05	-6.05	27.07	9.89	-13.19	20.19	11.52	-9.19
6	18.48	4.76	-6.01	27.50	9.69	-13.13	20.44	11.34	-9.12
7	18.37	4.48	-5.98	27.94	9.50	-13.06	20.67	11.17	-9.04
8	18.28	4.20	-5.94	28.42	9.31	-12.98	20.91	11.00	-8.96
9	18.19	3.96	-5.90	28.92	9.12	-12.91	21.13	10.84	-8.87
10	18.13	3.72	-5.86	29.46	8.94	-12.82	21.35	10.70	-8.76
11	18.07	3.52	-5.82	30.01	8.76	-12.72	21.55	10.56	-8.65
12	18.02	3.32	-5.77	30.58	8.60	-12.62	21.75	10.44	-8.53
13	17.97	3.16	-5.72	31.17	8.44	-12.51	21.94	10.34	-8.41
14	17.93	3.01	-5.67	31.78	8.29	-12.39	22.13	10.25	-8.28
15	17.89	2.90	-5.62	32.39	8.16	-12.26	22.31	10.18	-8.14
16	17.86	2.80	-5.57	33.01	8.04	-12.12	22.48	10.13	-8.00
17	17.82	2.73	-5.51	33.64	7.94	-11.98	22.66	10.10	-7.86
18	17.80	2.67	-5.45	34.26	7.87	-11.84	22.84	10.09	-7.71
19	17.77	2.64	-5.39	34.89	7.80	-11.69	23.02	10.09	-7.57
20	17.75	2.63	-5.33	35.52	7.76	-11.54	23.21	10.12	-7.42
21	17.72	2.64	-5.26	36.15	7.75	-11.38	23.41	10.16	-7.28
22	17.69	2.65	-5.19	36.77	7.75	-11.23	23.62	10.22	-7.15
23	17.67	2.70	-5.13	37.40	7.77	-11.07	23.86	10.29	-7.02
24	17.65	2.76	-5.05	38.02	7.84	-10.93	24.11	10.37	-6.89
25	17.64	2.83	-4.98	38.64	7.92	-10.78	24.39	10.47	-6.77
26	17.63	2.93	-4.90	39.28	8.03	-10.63	24.69	10.57	-6.66
27	17.63	3.05	-4.83	39.91	8.17	-10.49	25.01	10.68	-6.55
28	17.65	3.18	-4.75	40.56	8.33	-10.36	25.35	10.79	-6.46
29	17.68	3.35	-4.67	41.22	8.52	-10.23	25.71	10.90	-6.37
30	17.72	3.54	-4.59	41.91	8.72	-10.10	26.12	11.01	-6.29
31	17.79	3.76	-4.52	42.62	8.94	-9.97	26.55	11.11	-6.21
32	17.88	4.01	-4.45	43.37	9.18	-9.86	27.03	11.21	-6.14
33	18.00	4.29	-4.38	44.16	9.43	-9.74	27.55	11.30	-6.06
