	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3	FP3
	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE	FORCE
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1	1.3	-4.7	624.4	-2.5	-56.7	361.3	9.3	-26.5	471.5
2	1.3	-4.8	624.2	-2.2	-56.6	361.8	9.1	-26.4	472.7
3	1.3	-5.0	624.0	-1.9	-56.5	362.4	8.8	-26.4	473.9
4	1.3	-5.1	623.8	-1.6	-56.3	363.0	8.6	-26.3	475.2
5	1.3	-5.2	623.5	-1.3	-56.2	363.7	8.3	-26.3	476.4
6	1.2	-5.3	623.2	-0.9	-56.0	364.3	8.0	-26.2	477.7
7	1.2	-5.5	623.0	-0.6	-55.8	365.0	7.8	-26.2	479.0
8	1.2	-5.6	622.6	-0.2	-55.6	365.7	7.5	-26.1	480.3
9	1.1	-5.7	622.3	0.1	-55.3	366.5	7.2	-26.1	481.6
10	1.1	-5.8	621.9	0.5	-55.1	367.3	6.9	-26.0	483.0
11	1.1	-5.9	621.5	0.9	-54.8	368.1	6.6	-26.0	484.3
12	1.1	-6.0	621.0	1.2	-54.5	368.9	6.2	-25.9	485.7
13	1.0	-6.1	620.6	1.6	-54.2	369.8	5.9	-25.9	487.2
14	1.0	-6.2	620.0	2.0	-53.9	370.7	5.6	-25.8	488.6
15	0.9	-6.3	619.5	2.4	-53.6	371.7	5.2	-25.7	490.1
16	0.9	-6.4	618.9	2.8	-53.3	372.7	4.9	-25.7	491.7
17	0.9	-6.5	618.3	3.2	-52.9	373.7	4.5	-25.6	493.2
18	0.8	-6.6	617.6	3.6	-52.5	374.8	4.2	-25.6	494.8
19	0.8	-6.7	616.9	4.0	-52.1	375.9	3.8	-25.5	496.5
20	0.7	-6.8	616.2	4.5	-51.7	377.0	3.4	-25.4	498.1
21	0.7	-6.9	615.4	4.9	-51.3	378.2	3.0	-25.4	499.8
22	0.6	-7.0	614.5	5.3	-50.9	379.4	2.6	-25.3	501.6
23	0.6	-7.1	613.6	5.7	-50.4	380.7	2.2	-25.2	503.4
24	0.5	-7.2	612.7	6.1	-50.0	382.0	1.8	-25.1	505.3
25	0.5	-7.3	611.7	6.6	-49.5	383.4	1.4	-25.0	507.1
26	0.4	-7.4	610.7	7.0	-49.1	384.8	1.0	-25.0	509.1
27	0.4	-7.5	609.6	7.4	-48.6	386.2	0.6	-24.9	511.1
28	0.3	-7.6	608.5	7.8	-48.1	387.7	0.2	-24.8	513.1
29	0.3	-7.7	607.4	8.3	-47.6	389.2	-0.2	-24.7	515.2
30	0.2	-7.8	606.1	8.7	-47.1	390.8	-0.7	-24.6	517.3
31	0.1	-7.9	604.9	9.1	-46.6	392.4	-1.1	-24.5	519.5
32	0.1	-8.0	603.6	9.5	-46.1	394.0	-1.6	-24.4	521.8
33	0.0	-8.1	602.2	9.9	-45.6	395.7	-2.0	-24.3	524.1
34	-0.0	-8.2	600.8	10.3	-45.1	397.5	-2.4	-24.1	526.5
35	-0.1	-8.3	599.3	10.7	-44.6	399.2	-2.9	-24.0	528.9
36	-0.2	-8.4	597.8	11.1	-44.1	401.1	-3.3	-23.9	531.4
37	-0.2	-8.5	596.3	11.5	-43.7	402.9	-3.8	-23.8	534.0
38	-0.3	-8.6	594.7	11.9	-43.2	404.8	-4.2	-23.6	536.6
39	-0.4	-8.7	593.0	12.3	-42.7	406.8	-4.7	-23.5	539.3
40	-0.4	-8.8	591.3	12.6	-42.2	408.8	-5.1	-23.4	542.0
41	-0.5	-9.0	589.6	13.0	-41.7	410.8	-5.6	-23.2	544.8
42	-0.6	-9.1	587.8	13.4	-41.3	412.9	-6.0	-23.1	547.7
43	-0.7	-9.2	586.0	13.7	-40.8	415.0	-6.4	-22.9	550.6
44	-0.7	-9.4	584.2	14.0	-40.4	417.1	-6.9	-22.8	553.7
45	-0.8	-9.5	582.3	14.4	-39.9	419.3	-7.3	-22.6	556.8
46	-0.9	-9.7	580.4	14.7	-39.5	421.6	-7.7	-22.4	559.9
47	-0.9	-9.9	578.4	15.0	-39.1	423.9	-8.2	-22.3	563.1
48	-1.0	-10.0	576.5	15.3	-38.7	426.2	-8.6	-22.1	566.4
49	-1.1	-10.2	574.5	15.6	-38.3	428.6	-9.0	-21.9	569.8
50	-1.1	-10.4	572.5	15.9	-37.9	431.0	-9.4	-21.8	573.2
51	-1.2	-10.6	570.4	16.2	-37.6	433.4	-9.8	-21.6	576.8
52	-1.2	-10.8	568.4	16.5	-37.2	435.9	-10.2	-21.4	580.3
53	-1.3	-11.0	566.3	16.7	-36.9	438.5	-10.6	-21.2	584.0
54	-1.3	-11.3	564.2	17.0	-36.5	441.1	-11.0	-21.0	587.7
55	-1.4	-11.5	562.1	17.2	-36.2	443.7	-11.3	-20.8	591.5
56	-1.4	-11.8	560.0	17.5	-35.9	446.4	-11.7	-20.6	595.4
57	-1.5	-12.0	557.9	17.7	-35.6	449.1	-12.0	-20.4	599.3
58	-1.5	-12.3	555.8	17.9	-35.3	451.9	-12.4	-20.2	603.3
59	-1.6	-12.6	553.7	18.1	-35.0	454.7	-12.7	-20.0	607.4
60	-1.6	-12.9	551.6	18.3	-34.8	457.6	-13.0	-19.8	611.5
61	-1.6	-13.2	549.5	18.5	-34.5	460.5	-13.3	-19.6	615.7
62	-1.6	-13.5	547.4	18.7	-34.2	463.4	-13.6	-19.4	620.0
63	-1.6	-13.9	545.4	18.8	-34.0	466.4	-13.9	-19.1	624.3
64	-1.7	-14.2	543.3	19.0	-33.7	469.5	-14.2	-18.9	628.7
65	-1.7	-14.6	541.3	19.1	-33.5	472.5	-14.5	-18.7	633.1
66	-1.7	-14.9	539.3	19.3	-33.3	475.7	-14.7	-18.5	637.6
67	-1.6	-15.3	537.3	19.4	-33.0	478.9	-14.9	-18.2	642.1
68	-1.6	-15.7	535.4	19.5	-32.8	482.1	-15.2	-18.0	646.7
69	-1.6	-16.1	533.5	19.6	-32.6	485.4	-15.4	-17.7	651.3
70	-1.6	-16.5	531.6	19.7	-32.3	488.7	-15.6	-17.5	655.9
71	-1.5	-16.9	529.7	19.8	-32.1	492.1	-15.8	-17.2	660.6
72	-1.5	-17.3	527.9	19.8	-31.9	495.5	-16.0	-17.0	665.3
73	-1.4	-17.7	526.2	19.9	-31.6	499.0	-16.1	-16.7	670.1
74	-1.4	-18.1	524.4	19.9	-31.4	502.5	-16.3	-16.5	674.9
75	-1.3	-18.5	522.8	20.0	-31.2	506.1	-16.5	-16.2	679.7
76	-1.2	-18.9	521.1	20.0	-30.9	509.7	-16.6	-15.9	684.5
77	-1.1	-19.3	519.5	20.0	-30.7	513.4	-16.7	-15.7	689.3
78	-1.0	-19.7	518.0	20.0	-30.4	517.1	-16.8	-15.4	694.2
79	-0.9	-20.1	516.4	20.0	-30.2	520.9	-16.9	-15.1	699.0
80	-0.8	-20.5	515.0	20.0	-29.9	524.7	-17.0	-14.9	703.9
81	-0.7	-20.9	513.6	19.9	-29.7	528.5	-17.1	-14.6	708.7
82	-0.6	-21.3	512.2	19.9	-29.4	532.5	-17.2	-14.3	713.6
83	-0.4	-21.7	510.9	19.9	-29.1	536.4	-17.3	-14.1	718.5
84	-0.3	-22.0	509.6	19.8	-28.8	540.4	-17.3	-13.8	723.3
85	-0.1	-22.4	508.4	19.8	-28.5	544.5	-17.4	-13.5	728.1
86	0.0	-22.8	507.2	19.7	-28.2	548.6	-17.4	-13.2	733.0
87	0.2	-23.1	506.0	19.6	-27.9	552.8	-17.4	-13.0	737.8
88	0.3	-23.4	504.9	19.5	-27.5	557.0	-17.4	-12.7	742.5
89	0.5	-23.7	503.9	19.4	-27.2	561.3	-17.4	-12.4	747.3
90	0.7	-24.0	502.9	19.4	-26.8	565.6	-17.4	-12.2	752.0
91	0.9	-24.3	501.9	19.3	-26.4	570.0	-17.4	-11.9	756.8
92	1.0	-24.6	500.9	19.2	-26.1	574.5	-17.4	-11.7	761.5
93	1.2	-24.8	500.0	19.0	-25.7	578.9	-17.3	-11.4	766.1
94	1.4	-25.0	499.2	18.9	-25.3	583.5	-17.3	-11.1	770.8
95	1.6	-25.2	498.3	18.8	-24.8	588.1	-17.2	-10.9	775.4
96	1.8	-25.4	497.5	18.7	-24.4	592.7	-17.1	-10.6	779.9
97	2.0	-25.6	496.8	18.6	-24.0	597.4	-17.0	-10.4	784.5
98	2.2	-25.8	496.0	18.5	-23.5	602.1	-16.9	-10.1	789.0
99	2.5	-25.9	495.3	18.4	-23.0	606.9	-16.8	-9.9	793.5
100	2.7	-26.1	494.6	18.2	-22.5	611.8	-16.6	-9.6	797.9
101	2.9	-26.2	493.9	18.1	-22.0	616.7	-16.5	-9.4	802.3
102	3.1	-26.3	493.3	18.0	-21.5	621.6	-16.3	-9.1	806.7
103	3.3	-26.4	492.6	17.9	-21.0	626.6	-16.1	-8.9	811.0
104	3.5	-26.4	492.0	17.8	-20.4	631.7	-15.9	-8.6	815.4
105	3.7	-26.5	491.4	17.7	-19.8	636.8	-15.7	-8.4	819.6
106	3.9	-26.5	490.8	17.6	-19.3	641.9	-15.5	-8.1	823.9
107	4.1	-26.6	490.2	17.4	-18.7	647.1	-15.2	-7.8	828.1
108	4.4	-26.6	489.7	17.3	-18.1	652.4	-15.0	-7.6	832.2
109	4.6	-26.6	489.1	17.2	-17.4	657.6	-14.7	-7.3	836.4
110	4.8	-26.6	488.6	17.1	-16.8	663.0	-14.4	-7.0	840.5
111	5.0	-26.6	488.0	17.0	-16.1	668.3	-14.1	-6.7	844.5
112	5.2	-26.6	487.5	16.9	-15.5	673.7	-13.8	-6.4	848.5
113	5.4	-26.6	486.9	16.8	-14.8	679.1	-13.4	-6.1	852.5
114	5.6	-26.5	486.4	16.7	-14.1	684.6	-13.1	-5.8	856.5
115	5.8	-26.5	485.9	16.7	-13.3	690.1	-12.7	-5.5	860.4
116	6.0	-26.5	485.4	16.6	-12.6	695.6	-12.3	-5.2	864.2
117	6.1	-26.4	484.8	16.5	-11.8	701.2	-11.9	-4.8	868.1
118	6.3	-26.4	484.3	16.4	-11.1	706.8	-11.5	-4.5	871.9
119	6.5	-26.4	483.8	16.3	-10.3	712.4	-11.0	-4.1	875.6
120	6.7	-26.4	483.3	16.3	-9.5	718.0	-10.6	-3.7	879.3
121	6.9	-26.3	482.8	16.2	-8.7	723.6	-10.1	-3.3	883.0
122	7.0	-26.3	482.3	16.1	-7.8	729.2	-9.6	-2.9	886.6
123	7.2	-26.3	481.8	16.1	-7.0	734.9	-9.1	-2.5	890.1
124	7.4	-26.3	481.3	16.0	-6.1	740.5	-8.6	-2.1	893.6
125	7.5	-26.3	480.9	16.0	-5.3	746.2	-8.1	-1.7	897.1
126	7.7	-26.3	480.4	15.9	-4.4	751.8	-7.5	-1.2	900.5
127	7.8	-26.3	479.9	15.8	-3.5	757.5	-7.0	-0.8	903.9
128	8.0	-26.3	479.5	15.8	-2.6	763.1	-6.4	-0.3	907.2
129	8.1	-26.3	479.0	15.8	-1.7	768.8	-5.9	0.2	910.5
130	8.3	-26.3	478.6	15.7	-0.7	774.4	-5.3	0.7	913.7
131	8.4	-26.3	478.2	15.7	0.2	780.0	-4.7	1.2	916.8
132	8.5	-26.4	477.8	15.6	1.2	785.6	-4.1	1.7	919.9
133	8.7	-26.4	477.4	15.6	2.1	791.1	-3.6	2.2	922.9
134	8.8	-26.5	477.1	15.6	3.1	796.6	-3.0	2.8	925.9
135	8.9	-26.5	476.8	15.5	4.1	802.2	-2.4	3.3	928.8
136	9.1	-26.6	476.5	15.5	5.1	807.6	-1.8	3.9	931.6
