	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Hip_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	Y	X	X	Y	Z	Y	X	X	Y	Z	Y	X
1	15.15	-0.05	-0.53	2.09	73.46	21.53	-0.25	-0.04	-1.69	73.40	26.74	-1.57	-1.04	-1.18	75.61
2	15.26	-0.07	-0.53	2.09	73.49	21.80	-0.31	-0.06	-1.65	73.49	26.97	-1.63	-1.00	-1.15	75.69
3	15.38	-0.10	-0.53	2.09	73.52	22.09	-0.38	-0.08	-1.60	73.59	27.21	-1.68	-0.96	-1.11	75.78
4	15.50	-0.12	-0.53	2.09	73.56	22.38	-0.45	-0.10	-1.55	73.69	27.46	-1.74	-0.91	-1.07	75.88
5	15.63	-0.15	-0.53	2.09	73.59	22.69	-0.53	-0.13	-1.50	73.79	27.73	-1.80	-0.86	-1.03	75.98
6	15.77	-0.17	-0.53	2.08	73.63	23.00	-0.61	-0.15	-1.44	73.91	28.01	-1.87	-0.81	-0.97	76.08
