	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\SLVR 3.c3d
	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z
1									
2									
3	27.06	23.02	-4.86	29.60	13.22	-5.51	34.68	8.29	-15.07
4	27.38	22.99	-4.98	29.61	12.84	-5.52	34.98	8.52	-15.43
5	27.73	22.97	-5.11	29.61	12.45	-5.54	35.30	8.73	-15.77
6	28.09	22.94	-5.25	29.61	12.04	-5.58	35.63	8.96	-16.12
7	28.44	22.91	-5.39	29.61	11.63	-5.62	36.00	9.19	-16.48
8	28.77	22.87	-5.54	29.65	11.20	-5.67	36.39	9.44	-16.84
9	29.10	22.82	-5.69	29.72	10.78	-5.74	36.81	9.69	-17.20
10	29.40	22.75	-5.84	29.83	10.37	-5.83	37.28	9.97	-17.56
11	29.69	22.67	-6.00	30.01	9.93	-5.92	37.79	10.26	-17.93
12	29.94	22.56	-6.16	30.24	9.54	-6.04	38.37	10.57	-18.30
13	30.18	22.44	-6.32	30.55	9.13	-6.17	38.99	10.90	-18.68
14	30.39	22.31	-6.48	30.92	8.74	-6.33	39.69	11.23	-19.05
15	30.59	22.15	-6.65	31.38	8.37	-6.50	40.45	11.60	-19.42
16	30.78	21.97	-6.82	31.91	8.03	-6.69	41.29	11.96	-19.79
17	30.95	21.77	-6.99	32.51	7.69	-6.90	42.21	12.33	-20.16
18	31.13	21.56	-7.16	33.19	7.39	-7.14	43.21	12.72	-20.54
19	31.31	21.33	-7.34	33.94	7.13	-7.40	44.30	13.10	-20.90
20	31.50	21.09	-7.52	34.76	6.88	-7.67	45.46	13.49	-21.25
21	31.70	20.83	-7.69	35.64	6.69	-7.98	46.71	13.88	-21.61
22	31.94	20.56	-7.88	36.57	6.51	-8.29	48.03	14.25	-21.95
23	32.19	20.27	-8.07	37.56	6.38	-8.63	49.41	14.64	-22.29
24	32.47	19.98	-8.25	38.58	6.27	-8.98	50.86	15.00	-22.60
25	32.77	19.67	-8.45	39.64	6.21	-9.34	52.36	15.37	-22.91
26	33.08	19.35	-8.64	40.74	6.16	-9.72	53.92	15.72	-23.21
27	33.41	19.02	-8.83	41.86	6.17	-10.11	55.52	16.06	-23.48
28	33.73	18.68	-9.02	42.99	6.18	-10.49	57.14	16.37	-23.74
29	34.06	18.33	-9.21	44.14	6.23	-10.89	58.81	16.69	-23.99
30	34.37	17.97	-9.39	45.31	6.30	-11.29	60.48	16.97	-24.20
31	34.67	17.61	-9.57	46.48	6.41	-11.69	62.17	17.24	-24.40
32	34.94	17.23	-9.75	47.66	6.52	-12.08	63.87	17.47	-24.56
33	35.19	16.85	-9.92	48.85	6.66	-12.47	65.57	17.69	-24.71
34	35.41	16.46	-10.09	50.05	6.82	-12.85	67.26	17.86	-24.83
35	35.60	16.06	-10.25	51.26	7.00	-13.23	68.94	18.02	-24.92
36	35.76	15.67	-10.41	52.47	7.19	-13.59	70.60	18.14	-24.98
37	35.88	15.27	-10.56	53.70	7.40	-13.95	72.22	18.24	-25.03
38	36.00	14.87	-10.70	54.92	7.60	-14.28	73.82	18.29	-25.04
39	36.08	14.48	-10.84	56.16	7.84	-14.61	75.37	18.33	-25.03
40	36.16	14.10	-10.98	57.40	8.07	-14.92	76.87	18.32	-24.99
41	36.22	13.71	-11.11	58.64	8.32	-15.22	78.33	18.30	-24.94
42	36.28	13.35	-11.25	59.87	8.56	-15.49	79.72	18.23	-24.85
43	36.35	13.00	-11.38	61.09	8.82	-15.75	81.03	18.14	-24.75
44	36.42	12.66	-11.51	62.31	9.07	-15.98	82.28	18.03	-24.62
45	36.50	12.34	-11.64	63.51	9.32	-16.19	83.45	17.89	-24.49
46	36.60	12.03	-11.77	64.70	9.57	-16.39	84.54	17.72	-24.34
47	36.72	11.74	-11.90	65.87	9.81	-16.56	85.54	17.55	-24.18
48	36.86	11.47	-12.02	67.02	10.05	-16.70	86.45	17.35	-24.01
49	37.02	11.21	-12.15	68.15	10.27	-16.82	87.27	17.15	-23.84
50	37.22	10.96	-12.27	69.26	10.48	-16.92	87.99	16.95	-23.66
51	37.42	10.72	-12.39	70.33	10.68	-17.00	88.60	16.74	-23.48
52	37.67	10.50	-12.52	71.38	10.86	-17.05	89.09	16.53	-23.30
53	37.94	10.28	-12.63	72.39	11.03	-17.07	89.48	16.33	-23.11
54	38.25	10.07	-12.75	73.35	11.17	-17.08	89.74	16.14	-22.93
55	38.59	9.87	-12.86	74.28	11.29	-17.05	89.87	15.98	-22.76
56	38.97	9.67	-12.97	75.15	11.38	-16.99	89.88	15.82	-22.58
57	39.38	9.47	-13.08	75.95	11.46	-16.92	89.78	15.68	-22.40
58	39.82	9.28	-13.19	76.70	11.52	-16.82	89.54	15.56	-22.22
59	40.29	9.09	-13.31	77.38	11.55	-16.69	89.19	15.45	-22.03
60	40.80	8.90	-13.41	78.00	11.57	-16.54	88.74	15.36	-21.84
61	41.33	8.71	-13.53	78.54	11.57	-16.38	88.19	15.29	-21.65
62	41.90	8.52	-13.64	79.01	11.56	-16.19	87.57	15.25	-21.45
63	42.48	8.34	-13.75	79.41	11.54	-15.99	86.88	15.21	-21.25
64	43.11	8.14	-13.87	79.74	11.50	-15.76	86.14	15.21	-21.05
65	43.76	7.96	-13.98	79.99	11.45	-15.52	85.37	15.22	-20.85
66	44.43	7.77	-14.09	80.17	11.41	-15.28	84.59	15.25	-20.65
67	45.14	7.57	-14.21	80.26	11.35	-15.02	83.80	15.30	-20.45
68	45.85	7.38	-14.32	80.29	11.30	-14.76	83.03	15.36	-20.24
69	46.59	7.20	-14.43	80.22	11.26	-14.50	82.30	15.45	-20.04
70	47.36	7.01	-14.54	80.08	11.24	-14.25	81.59	15.55	-19.84
71	48.15	6.83	-14.66	79.84	11.23	-14.01	80.93	15.67	-19.63
72	48.94	6.65	-14.77	79.51	11.25	-13.78	80.31	15.81	-19.44
73	49.75	6.47	-14.88	79.08	11.30	-13.58	79.72	15.95	-19.23
