	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d
	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2	FP1	FP1	FP1	FP2	FP2	FP2
	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP	COFP
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.2200	2.0269	-0.1010	0.8122	2.1059	-0.1070	0.2519	2.0000	-0.0989	0.8619	2.1097	-0.1073	0.2281	1.9573	-0.0955	0.8202	2.0055	-0.0988
2	0.2198	2.0249	-0.1009	0.8109	2.1058	-0.1070	0.2519	2.0052	-0.0993	0.8642	2.1109	-0.1074	0.2276	1.9563	-0.0954	0.8179	2.0015	-0.0985
3	0.2189	2.0259	-0.1009	0.8098	2.1087	-0.1072	0.2506	1.9989	-0.0988	0.8633	2.1082	-0.1072	0.2282	1.9585	-0.0955	0.8159	2.0045	-0.0987
4	0.2182	2.0250	-0.1009	0.8085	2.1067	-0.1071	0.2486	1.9983	-0.0987	0.8649	2.1059	-0.1070	0.2277	1.9587	-0.0956	0.8119	2.0020	-0.0985
5	0.2204	2.0262	-0.1010	0.8085	2.1061	-0.1070	0.2512	1.9963	-0.0986	0.8603	2.1080	-0.1072	0.2281	1.9569	-0.0954	0.8107	2.0035	-0.0986
6	0.2184	2.0262	-0.1010	0.8069	2.1056	-0.1070	0.2525	1.9977	-0.0987	0.8636	2.1103	-0.1073	0.2264	1.9588	-0.0956	0.8088	2.0027	-0.0986
7	0.2169	2.0266	-0.1010	0.8071	2.1060	-0.1070	0.2498	1.9963	-0.0986	0.8620	2.1087	-0.1072	0.2270	1.9599	-0.0957	0.8051	2.0023	-0.0985
8	0.2179	2.0255	-0.1009	0.8033	2.1040	-0.1069	0.2496	1.9901	-0.0981	0.8654	2.1109	-0.1074	0.2282	1.9595	-0.0956	0.8025	2.0001	-0.0984
9	0.2171	2.0256	-0.1009	0.8034	2.1059	-0.1070	0.2499	1.9958	-0.0985	0.8632	2.1070	-0.1071	0.2276	1.9576	-0.0955	0.8003	1.9988	-0.0983
10	0.2166	2.0231	-0.1007	0.8011	2.1055	-0.1070	0.2508	1.9948	-0.0984	0.8644	2.1086	-0.1072	0.2281	1.9550	-0.0953	0.7982	2.0002	-0.0984
11	0.2188	2.0251	-0.1009	0.7998	2.1076	-0.1072	0.2497	1.9957	-0.0985	0.8604	2.1063	-0.1070	0.2259	1.9578	-0.0955	0.7981	1.9994	-0.0983
12	0.2172	2.0263	-0.1010	0.7981	2.1053	-0.1070	0.2466	1.9934	-0.0983	0.8618	2.1114	-0.1074	0.2257	1.9559	-0.0953	0.7949	1.9996	-0.0983
13	0.2182	2.0241	-0.1008	0.7980	2.1035	-0.1068	0.2478	1.9952	-0.0985	0.8593	2.1079	-0.1072	0.2263	1.9532	-0.0951	0.7911	1.9993	-0.0983
14	0.2182	2.0246	-0.1008	0.7972	2.1070	-0.1071	0.2497	1.9940	-0.0984	0.8587	2.1085	-0.1072	0.2287	1.9548	-0.0953	0.7906	1.9983	-0.0982
15	0.2166	2.0254	-0.1009	0.7942	2.1054	-0.1070	0.2451	1.9947	-0.0984	0.8567	2.1094	-0.1073	0.2255	1.9544	-0.0952	0.7866	1.9986	-0.0982
16	0.2177	2.0254	-0.1009	0.7940	2.1056	-0.1070	0.2480	1.9927	-0.0983	0.8577	2.1068	-0.1071	0.2280	1.9531	-0.0951	0.7859	1.9969	-0.0981
17	0.2171	2.0252	-0.1009	0.7903	2.1047	-0.1069	0.2476	1.9946	-0.0984	0.8572	2.1047	-0.1069	0.2266	1.9537	-0.0952	0.7836	1.9963	-0.0981
18	0.2169	2.0253	-0.1009	0.7902	2.1058	-0.1070	0.2491	1.9948	-0.0984	0.8561	2.1021	-0.1067	0.2290	1.9515	-0.0950	0.7826	1.9942	-0.0979
19	0.2166	2.0237	-0.1008	0.7889	2.1053	-0.1070	0.2455	1.9963	-0.0986	0.8542	2.1049	-0.1069	0.2268	1.9505	-0.0949	0.7840	1.9972	-0.0981
20	0.2163	2.0214	-0.1006	0.7891	2.1053	-0.1070	0.2467	1.9931	-0.0983	0.8561	2.1045	-0.1069	0.2265	1.9517	-0.0950	0.7804	1.9978	-0.0982
21	0.2172	2.0234	-0.1007	0.7860	2.1062	-0.1070	0.2471	1.9953	-0.0985	0.8525	2.1033	-0.1068	0.2270	1.9532	-0.0951	0.7776	1.9962	-0.0980
22	0.2155	2.0223	-0.1007	0.7858	2.1075	-0.1071	0.2449	1.9927	-0.0983	0.8531	2.1062	-0.1070	0.2250	1.9519	-0.0950	0.7761	1.9972	-0.0981
23	0.2143	2.0260	-0.1009	0.7858	2.1031	-0.1068	0.2442	1.9970	-0.0986	0.8487	2.1031	-0.1068	0.2260	1.9524	-0.0951	0.7745	1.9969	-0.0981
24	0.2161	2.0236	-0.1008	0.7846	2.1038	-0.1068	0.2463	1.9946	-0.0984	0.8499	2.1038	-0.1068	0.2252	1.9515	-0.0950	0.7760	1.9937	-0.0978
25	0.2158	2.0244	-0.1008	0.7828	2.1053	-0.1070	0.2447	1.9935	-0.0983	0.8478	2.1013	-0.1066	0.2249	1.9504	-0.0949	0.7756	1.9933	-0.0978
26	0.2167	2.0256	-0.1009	0.7816	2.1032	-0.1068	0.2455	1.9931	-0.0983	0.8465	2.0985	-0.1064	0.2253	1.9505	-0.0949	0.7721	1.9933	-0.0978
27	0.2173	2.0248	-0.1008	0.7829	2.1046	-0.1069	0.2441	1.9948	-0.0984	0.8449	2.0971	-0.1063	0.2261	1.9497	-0.0948	0.7703	1.9925	-0.0977
28	0.2164	2.0246	-0.1008	0.7806	2.1048	-0.1069	0.2458	1.9923	-0.0982	0.8423	2.0964	-0.1062	0.2248	1.9478	-0.0947	0.7700	1.9924	-0.0977
29	0.2166	2.0249	-0.1009	0.7790	2.1057	-0.1070	0.2434	1.9933	-0.0983	0.8408	2.0932	-0.1060	0.2253	1.9491	-0.0948	0.7688	1.9917	-0.0977
30	0.2166	2.0254	-0.1009	0.7779	2.1035	-0.1068	0.2452	1.9969	-0.0986	0.8423	2.0948	-0.1061	0.2260	1.9488	-0.0948	0.7659	1.9919	-0.0977
31	0.2155	2.0234	-0.1007	0.7772	2.1056	-0.1070	0.2453	1.9927	-0.0983	0.8412	2.0932	-0.1060	0.2254	1.9495	-0.0948	0.7667	1.9926	-0.0978
32	0.2159	2.0238	-0.1008	0.7752	2.1047	-0.1069	0.2426	1.9903	-0.0981	0.8379	2.0953	-0.1061	0.2256	1.9487	-0.0948	0.7643	1.9930	-0.0978
33	0.2171	2.0212	-0.1006	0.7753	2.1050	-0.1069	0.2450	1.9950	-0.0985	0.8382	2.0968	-0.1063	0.2242	1.9493	-0.0948	0.7657	1.9918	-0.0977
34	0.2171	2.0232	-0.1007	0.7736	2.1038	-0.1068	0.2471	1.9946	-0.0984	0.8343	2.0950	-0.1061	0.2248	1.9490	-0.0948	0.7605	1.9928	-0.0978
35	0.2168	2.0238	-0.1008	0.7716	2.1044	-0.1069	0.2434	1.9922	-0.0982	0.8339	2.0921	-0.1059	0.2239	1.9467	-0.0946	0.7604	1.9923	-0.0977
36	0.2158	2.0253	-0.1009	0.7717	2.1015	-0.1067	0.2425	1.9955	-0.0985	0.8313	2.0945	-0.1061	0.2249	1.9469	-0.0946	0.7600	1.9888	-0.0974
37	0.2153	2.0217	-0.1006	0.7715	2.1022	-0.1067	0.2432	1.9939	-0.0984	0.8297	2.0868	-0.1054	0.2243	1.9475	-0.0947	0.7589	1.9896	-0.0975
38	0.2163	2.0233	-0.1007	0.7720	2.1025	-0.1067	0.2449	1.9936	-0.0983	0.8279	2.0923	-0.1059	0.2242	1.9459	-0.0945	0.7579	1.9897	-0.0975
39	0.2155	2.0236	-0.1008	0.7682	2.1015	-0.1067	0.2426	1.9929	-0.0983	0.8255	2.0901	-0.1057	0.2220	1.9462	-0.0946	0.7585	1.9890	-0.0975
40	0.2160	2.0217	-0.1006	0.7701	2.1015	-0.1067	0.2403	1.9957	-0.0985	0.8259	2.0882	-0.1056	0.2239	1.9461	-0.0946	0.7572	1.9886	-0.0974
41	0.2153	2.0238	-0.1008	0.7688	2.1022	-0.1067	0.2419	1.9979	-0.0987	0.8249	2.0856	-0.1053	0.2242	1.9464	-0.0946	0.7552	1.9898	-0.0975
42	0.2164	2.0231	-0.1007	0.7686	2.1025	-0.1067	0.2419	1.9951	-0.0985	0.8229	2.0855	-0.1053	0.2233	1.9459	-0.0945	0.7550	1.9896	-0.0975
43	0.2148	2.0236	-0.1008	0.7667	2.1000	-0.1065	0.2404	1.9946	-0.0984	0.8190	2.0839	-0.1052	0.2231	1.9474	-0.0947	0.7543	1.9899	-0.0975
44	0.2152	2.0219	-0.1006	0.7662	2.0981	-0.1064	0.2445	1.9927	-0.0983	0.8209	2.0840	-0.1052	0.2245	1.9454	-0.0945	0.7536	1.9886	-0.0974
45	0.2149	2.0234	-0.1007	0.7659	2.0991	-0.1065	0.2457	1.9967	-0.0986	0.8161	2.0830	-0.1051	0.2228	1.9456	-0.0945	0.7529	1.9882	-0.0974
46	0.2155	2.0229	-0.1007	0.7653	2.0977	-0.1064	0.2415	1.9905	-0.0981	0.8160	2.0835	-0.1052	0.2225	1.9472	-0.0946	0.7540	1.9851	-0.0971
47	0.2162	2.0228	-0.1007	0.7642	2.0977	-0.1063	0.2432	1.9942	-0.0984	0.8139	2.0786	-0.1048	0.2232	1.9469	-0.0946	0.7536	1.9861	-0.0972
48	0.2163	2.0225	-0.1007	0.7641	2.0961	-0.1062	0.2430	1.9948	-0.0985	0.8114	2.0777	-0.1047	0.2228	1.9488	-0.0948	0.7529	1.9879	-0.0974
49	0.2158	2.0238	-0.1008	0.7632	2.0972	-0.1063	0.2415	1.9949	-0.0985	0.8086	2.0758	-0.1045	0.2220	1.9466	-0.0946	0.7540	1.9881	-0.0974
50	0.2155	2.0241	-0.1008	0.7635	2.0974	-0.1063	0.2419	1.9937	-0.0984	0.8049	2.0731	-0.1043	0.2231	1.9491	-0.0948	0.7525	1.9876	-0.0974
51	0.2162	2.0231	-0.1007	0.7619	2.0936	-0.1060	0.2427	1.9948	-0.0985	0.7993	2.0718	-0.1042	0.2238	1.9476	-0.0947	0.7532	1.9859	-0.0972
52	0.2166	2.0234	-0.1007	0.7619	2.0979	-0.1064	0.2412	1.9922	-0.0982	0.7962	2.0662	-0.1038	0.2237	1.9463	-0.0946	0.7519	1.9860	-0.0972
53	0.2150	2.0222	-0.1006	0.7614	2.0954	-0.1062	0.2418	1.9976	-0.0987	0.7887	2.0592	-0.1032	0.2220	1.9491	-0.0948	0.7518	1.9855	-0.0972
54	0.2148	2.0228	-0.1007	0.7620	2.0969	-0.1063	0.2419	1.9954	-0.0985	0.7878	2.0572	-0.1030	0.2230	1.9479	-0.0947	0.7518	1.9871	-0.0973
55	0.2156	2.0240	-0.1008	0.7610	2.0962	-0.1062	0.2418	1.9943	-0.0984	0.7843	2.0559	-0.1029	0.2226	1.9481	-0.0947	0.7520	1.9861	-0.0972
56	0.2157	2.0221	-0.1006	0.7605	2.0933	-0.1060	0.2416	1.9932	-0.0983	0.7785	2.0512	-0.1025	0.2235	1.9472	-0.0946	0.7516	1.9850	-0.0971
57	0.2149	2.0225	-0.1007	0.7604	2.0950	-0.1061	0.2393	1.9956	-0.0985	0.7752	2.0489	-0.1024	0.2235	1.9460	-0.0945	0.7524	1.9859	-0.0972
58	0.2157	2.0238	-0.1008	0.7612	2.0938	-0.1060	0.2426	1.9929	-0.0983	0.7732	2.0458	-0.1021	0.2228	1.9469	-0.0946	0.7515	1.9860	-0.0972
59	0.2146	2.0225	-0.1007	0.7603	2.0946	-0.1061	0.2407	1.9906	-0.0981	0.7695	2.0422	-0.1018	0.2225	1.9468	-0.0946	0.7515	1.9870	-0.0973
60	0.2147	2.0216	-0.1006	0.7599	2.0949	-0.1061	0.2421	1.9962	-0.0986	0.7685	2.0429	-0.1019	0.2232	1.9467	-0.0946	0.7511	1.9829	-0.0970
61	0.2153	2.0225	-0.1007	0.7596	2.0919	-0.1059	0.2417	1.9910	-0.0981	0.7661	2.0394	-0.1016	0.2244	1.9461	-0.0946	0.7507	1.9854	-0.0972
62	0.2151	2.0230	-0.1007	0.7599	2.0955	-0.1062	0.2415	1.9937	-0.0984	0.7635	2.0353	-0.1013	0.2231	1.9447	-0.0944	0.7513	1.9838	-0.0970
63	0.2147	2.0226	-0.1007	0.7603	2.0940	-0.1061	0.2417	1.9906	-0.0981	0.7642	2.0349	-0.1012	0.2237	1.9454	-0.0945	0.7520	1.9833	-0.0970
64	0.2147	2.0243	-0.1008	0.7592	2.0943	-0.1061	0.2405	1.9889	-0.0980	0.7612	2.0354	-0.1013	0.2245	1.9449	-0.0945	0.7512	1.9819	-0.0969
65	0.2154	2.0223	-0.1006	0.7611	2.0943	-0.1061	0.2421	1.9897	-0.0980	0.7612	2.0300	-0.1008	0.2240	1.9450	-0.0945	0.7509	1.9826	-0.0969
66	0.2154	2.0214	-0.1006	0.7599	2.0948	-0.1061	0.2399	1.9917	-0.0982	0.7604	2.0290	-0.1007	0.2232	1.9440	-0.0944	0.7514	1.9812	-0.0968
67	0.2160	2.0237	-0.1008	0.7615	2.0951	-0.1061	0.2417	1.9901	-0.0981	0.7589	2.0283	-0.1007	0.2249	1.9444	-0.0944	0.7519	1.9809	-0.0968
