	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 1.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 2.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d	D:\RTS 2.0\Data\Walker, Alex_AW\2026-04-02_\Vertical 3.c3d
	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	L_Hip_Angle	R_Hip_Angle	L_Ankle_Angle	R_Ankle_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	Y	Y	X	X	X	Y	Z	X	Y	Z	Y	Y	X	X	X	Y	Z	X	Y	Z	Y	Y	X	X
1	31.70	-1.45	0.65	33.87	-1.28	-1.53	-8.71	-8.97	77.68	72.03	24.97	-1.46	1.09	29.32	0.92	-0.07	-9.11	-8.20	73.25	66.64	32.38	-1.72	1.59	35.38	0.45	0.50	-6.35	-11.13	76.88	72.77
2	32.05	-1.50	0.71	34.19	-1.30	-1.43	-8.57	-9.15	77.82	72.18	25.27	-1.45	1.15	29.55	0.93	-0.02	-9.09	-8.25	73.36	66.82	32.77	-1.71	1.64	35.72	0.40	0.56	-6.27	-11.29	77.01	72.92
3	32.42	-1.55	0.77	34.53	-1.33	-1.33	-8.42	-9.34	77.96	72.35	25.59	-1.45	1.21	29.80	0.94	0.03	-9.06	-8.31	73.48	67.01	33.18	-1.70	1.69	36.09	0.33	0.63	-6.19	-11.45	77.16	73.08
4	32.81	-1.59	0.83	34.89	-1.37	-1.22	-8.28	-9.53	78.11	72.53	25.93	-1.44	1.26	30.05	0.94	0.08	-9.02	-8.38	73.61	67.22	33.62	-1.68	1.75	36.48	0.26	0.69	-6.11	-11.62	77.31	73.25
5	33.23	-1.64	0.90	35.27	-1.41	-1.10	-8.14	-9.72	78.27	72.71	26.29	-1.44	1.32	30.33	0.95	0.12	-8.97	-8.46	73.74	67.44	34.08	-1.67	1.81	36.89	0.18	0.77	-6.02	-11.80	77.47	73.43
6	33.66	-1.68	0.97	35.68	-1.46	-0.98	-8.00	-9.92	78.44	72.91	26.67	-1.45	1.38	30.62	0.96	0.17	-8.92	-8.55	73.89	67.68	34.57	-1.66	1.87	37.33	0.10	0.85	-5.93	-11.99	77.64	73.61
